 	devo	pulire	l	albero	</S>
a39	0.0720307322	0.106861833	0.062518468	0.60833543	0.15025355
a31	0.0719731418927	0.105536958551	0.0481904235	0.65404443	0.120255065733
a35	0.0328039064569	0.0468226414013	0.025236383	0.730406023333	0.164731090978
a31	0.0197474498574	0.027247433495	0.0165310859	0.757105164444	0.179368913593
a20	0.00964829332419	0.0126077360263	0.009335093	0.739607331481	0.228801567798
a31	0.00628190661794	0.00772775439143	0.0069183486	0.73386127716	0.245210727933
a37	0.00273880241585	0.00329964534648	0.00454294386667	0.68947532572	0.299943281311
a1	0.00157607526862	0.00190269792216	0.00238578775556	0.637751661907	0.356383760437
a20	0.000853823486207	0.00102206724739	0.00142417785185	0.599858897302	0.396841040146
a31	0.000595300627369	0.000678029092463	0.00429627628395	0.621191489101	0.373238915382
a39	0.00033654645109	0.000383054684154	0.00512932486465	0.589547056367	0.404604020461
a10	0.00037202573703	0.000455751721385	0.00195636654822	0.365296558789	0.631919293487
a29	0.000673727022343	0.000769113923795	0.00104263400607	0.318289859596	0.679224641162
a46	0.000816423874114	0.000807424587932	0.000704156935357	0.242655743199	0.755016237054
a31	0.0022696550247	0.00805356117598	0.00630811124512	0.329376331066	0.653992372351
a20	0.00259930825557	0.0103498184367	0.00808063027171	0.349790927022	0.629179350784
a13	0.000902287015857	0.00351016917023	0.00282266943057	0.219126539007	0.773638360261
a20	0.000338113427952	0.00124190380008	0.00111769999352	0.179587929669	0.81771436342
a31	0.00109227541532	0.00254722069669	0.00231923403117	0.253828343223	0.74021290114
a11	0.00133500534411	0.0029635198779	0.00266824486872	0.279642864408	0.713390363713
a17	0.000448313922637	0.00100206298963	0.000957599197907	0.200340048136	0.797251981238
a20	0.000151754670812	0.000348748400543	0.000410472955969	0.184889796045	0.814199220413
</S>	7.8138976906e-05	0.000189143729272	0.000294460237984	0.185670528023	0.813767735207
