 	Marika	è	che	si	sposa	domani	</S>
a27	8.5751846465e-06	9.868912943e-06	2.4463702065e-05	0.00187554865	0.000324904625	0.997043775	0.0007128216
a37	8.8530512155e-06	1.0178427681e-05	2.52632465217e-05	0.00156097741667	0.000279849278333	0.997819371667	0.000295473286
a31	3.23998348891e-06	3.71655644044e-06	9.29043719569e-06	0.00063123543219	0.000146424700444	0.999081503889	0.000124581738333
a11	1.17155315672e-06	1.37909314025e-06	3.37857580369e-06	0.00022499260403	5.7604635148e-05	0.999587101296	0.000124350819778
a31	4.82074814341e-07	5.99937648586e-07	1.40795031683e-06	8.95475165087e-05	2.75621412827e-05	0.999760833765	0.000119535740926
a37	2.63378280214e-07	3.76135361365e-07	7.79626104548e-07	4.01361950016e-05	1.47138346609e-05	0.999611877922	0.000331828141309
a31	1.9047929135e-07	3.01534544265e-07	5.70184336634e-07	2.36632802689e-05	1.01913417536e-05	0.999564059307	0.000401019465103
a6	3.33618205062e-07	7.50729148565e-07	1.05962548066e-06	1.81242910246e-05	7.3057854512e-06	0.997468799769	0.00250364019637
a20	3.90935561687e-07	9.22175076188e-07	1.25712185555e-06	1.75448086749e-05	4.9679749504e-06	0.99575635659	0.00421854103212
a31	1.39918318442e-07	3.29108664105e-07	4.53398814926e-07	7.1770500383e-06	3.68288978347e-06	0.99756110553	0.00242709148204
a20	1.60674584027e-07	5.04375766744e-07	5.94041306052e-07	6.33511349277e-06	3.25956189449e-06	0.982582345177	0.0174068166653
a31	1.67599115182e-07	5.628061472e-07	6.40949309433e-07	6.29288296426e-06	5.04352859816e-06	0.977584895059	0.0224024109638
a0	7.6872017234e-08	2.93487180685e-07	3.03365543893e-07	3.21220058809e-06	5.34623795272e-06	0.91449594502	0.0854948390633
a20	4.88038916113e-08	2.14140159562e-07	1.99481189964e-07	2.1440712427e-06	2.19134733757e-06	0.83376734834	0.166227876354
a31	2.20339627371e-08	8.83289845207e-08	9.19518726547e-08	2.94744636609e-05	1.59671930459e-05	0.884692936113	0.115261422225
</S>	1.63933983685e-08	5.39336502604e-08	7.11459373273e-08	5.75079338304e-05	3.0623381523e-05	0.942064448057	0.0578472712725
