 	non	ha	da	mangiare	</S>
a31	6.98414015e-07	1.093697337e-05	0.002938547985	0.9875005	0.009549308
a20	7.38754367817e-05	0.000156225495037	0.001906542085	0.959887313333	0.037976039
a31	9.82439847677e-05	0.00020451447241	0.00152497948717	0.950499917778	0.047672365
a41	3.62787040964e-05	7.51925165339e-05	0.00060069243789	0.893661615926	0.105626235
a10	1.63209931988e-05	3.38308519446e-05	0.000324870289297	0.759719515309	0.239905465
a31	6.1379452161e-06	1.3024519108e-05	0.000146781192432	0.801825338436	0.198008703233
a15	4.3616850552e-06	7.2109990625e-06	6.22228034773e-05	0.628704364812	0.371221829311
a31	3.7702667534e-06	5.27821275917e-06	4.18598221591e-05	0.571322893604	0.428626213937
a39	1.42189661947e-06	1.95445194806e-06	2.65883881864e-05	0.533641327201	0.466328725479
a37	6.77058054823e-07	8.9965927602e-07	1.07978103288e-05	0.206586326067	0.79340133516
</S>	3.96747349912e-07	5.3931214301e-07	6.7541318644e-06	0.128674774534	0.87131758258
