 	non	ci	dimentichiamo	mai	</S>
a31	0.0001836370185	0.310321075	0.681215565	0.00795725732	0.0003224983
a20	0.00621433620617	0.151955048333	0.5682845	0.249396597107	0.0241495245133
a31	0.00812079589006	0.092403673211	0.525747758333	0.341697961702	0.0320298109811
a11	0.00417444731802	0.054215524837	0.516184931111	0.385121929901	0.040303158137
a20	0.00406059363934	0.0560605826123	0.209629551037	0.6492703333	0.0809789160457
a31	0.00257563291911	0.0439444118708	0.365310079346	0.522737544433	0.0654323212486
a11	0.00321832067904	0.0551038606236	0.420350719782	0.445126714811	0.0762003813162
a31	0.00343201681801	0.0612087645412	0.441218399927	0.414413219937	0.0797276290721
a18	0.001567018931	0.0354279930137	0.436961305642	0.417751378312	0.108292341657
a42	0.000994165053667	0.0164173056379	0.149270670981	0.673824649437	0.159493190552
a31	0.000552494627889	0.0666754226793	0.25198095376	0.584634829812	0.0961562930507
a18	0.000367218120963	0.0831133927598	0.286613743787	0.532066146604	0.0978395338836
a31	0.000292795575321	0.103708472787	0.252590933796	0.544766882201	0.0986409255945
a39	0.000241192383107	0.110278221626	0.240588674032	0.549688994067	0.0992029261648
a31	0.000196750609036	0.0861700879053	0.167900530777	0.645091831356	0.100640804955
a20	0.000180387477085	0.0780993978405	0.143198054769	0.657867877119	0.120654267885
a39	6.02550416383e-05	0.0260401891749	0.0482308674663	0.746290312373	0.179378375962
a31	5.74879857494e-05	0.0196353044143	0.0394293838554	0.819745357458	0.121132475321
a14	5.65292340115e-05	0.0174976670164	0.0364371601185	0.830638905819	0.11536976844
a46	1.88914129575e-05	0.0058364893496	0.0126533801562	0.781881838606	0.19960942948
a20	6.3604439145e-06	0.00195097450633	0.00497635770207	0.760357162869	0.23270915316
a31	1.00851807082e-05	0.00296812722611	0.0193197376007	0.807511187623	0.17019088572
</S>	1.69230993541e-05	0.00495436731305	0.0353085018004	0.845488893811	0.11423134986
