 	avete	cucinato	le	verdure	</S>
a29	0.01509144773	0.01188462344	0.060447975	0.7184796	0.19409633
a38	0.0287109225767	0.0189289511467	0.0448629093333	0.71184606	0.19565112
a31	0.0232785864712	0.0134944975966	0.0484859707778	0.763245596667	0.151495313333
a11	0.0081034079027	0.0049321558132	0.0442236765926	0.833270308889	0.109470431111
a37	0.00337064333423	0.0022567340944	0.0192371411975	0.82219389963	0.15294153037
a11	0.00562402167808	0.00225309932147	0.00943929439917	0.784186786543	0.198496730123
a31	0.00680762802603	0.00364810940716	0.0222303027997	0.807256095514	0.160057828374
a20	0.00309195113201	0.00282282896572	0.0249488893332	0.815569931838	0.153566394458
a31	0.001451122034	0.00172397205191	0.0279676921777	0.817034877279	0.151822351486
a39	0.000841714339	0.00133458385307	0.0287014983592	0.82070254576	0.148419667162
a13	0.000285424361667	0.000449673224457	0.0104956311531	0.763657435253	0.225111859054
a18	0.000102443119889	0.000157205890819	0.00463797468437	0.695072545084	0.300029849685
a39	5.03834742963e-05	6.8391224273e-05	0.00318457346146	0.631850081695	0.364846579895
a31	0.000147017180765	0.000157857940424	0.0128076801538	0.697697547232	0.289189919965
a46	0.000167866354988	0.000177065934241	0.0154221443179	0.725290802411	0.258942139988
</S>	8.4854619594e-05	9.01229232705e-05	0.00838890855895	0.668871651205	0.322564489994
