 	Marika	tu	hai	mangiato	</S>
a8	0.0423306687245	0.26531137255	0.380511555	0.251580385	0.060265974
a31	0.0423263203704	0.265189712469	0.387793055	0.266057728333	0.0386331566667
a24	0.0141088298287	0.0884006242788	0.470430181667	0.394924392778	0.0321359725556
a31	0.00470298009928	0.0294700862719	0.477300277222	0.459016927593	0.0295097298519
a28	0.0015745469071	0.0099072818766	0.390498869074	0.558059822531	0.039959481284
a31	0.000531731736436	0.0033862197026	0.417329299691	0.539087640844	0.0396651370947
a3	0.000178608704781	0.0011554406746	0.386947329897	0.559278163615	0.0524405206982
a18	6.2859070827e-05	0.000442950731533	0.188107693632	0.643197687872	0.168188885233
a31	2.29609757757e-05	0.000188879679844	0.324871084877	0.498061529291	0.176855590078
a23	7.81925976523e-06	7.37977086813e-05	0.360800587459	0.292820833097	0.346296958359
a31	4.04513926174e-06	0.00020214064896	0.373885554986	0.217398937699	0.408509307453
a20	2.68037809725e-06	0.000243954591397	0.378115850762	0.174806520566	0.446830970484
</S>	1.35735606362e-06	0.000122197358314	0.189317424031	0.135754492283	0.674804485242
