 	oggi	abbiamo	deciso	di	andare	al	mare	alla	spiaggia	sono	andati	tutti	solamente	mio	fratello	non	</S>
a23	0.0199783777469	0.0135948439716	0.00302352293354	0.00220611159568	0.00507757310765	0.0112444180891	0.03465690802	0.0213880226	0.03690164209	0.0171974014	0.008138214415	0.01356192857	0.01432049701	0.0377821602	0.032827409	0.337470575	0.390630415
a31	0.0199779582164	0.0135945329801	0.00302344187353	0.00220603055751	0.00507717112391	0.0112419888985	0.0346296728548	0.0213714098975	0.036805291177	0.0171512426463	0.00811829407469	0.0135033654997	0.0142736350738	0.03665581123	0.062068738	0.452373901667	0.247927561667
a20	0.00872112883956	0.00575167484955	0.0012828544202	0.000919288578119	0.00205637992933	0.00444199950163	0.0137667979664	0.00877586443001	0.0142288018727	0.00660954746178	0.00314127456125	0.00523511294293	0.00583939392837	0.01466644724	0.0623134313333	0.550525033889	0.291725000556
a31	0.00496885032503	0.00313738797121	0.000702658476302	0.000490374480489	0.00104944908695	0.00217533431466	0.00681244744298	0.00457726633183	0.0067032282337	0.00309560221891	0.0014822587327	0.00247892160919	0.00302732620362	0.00731359984333	0.0636061657778	0.58370694463	0.304672215519
a28	0.00323624302019	0.00198450401176	0.000446941895002	0.000305887574612	0.000632808839489	0.00126770038567	0.00402976996851	0.00284365643243	0.00377067315403	0.00173038863795	0.000836797323188	0.00140362243128	0.00187027779537	0.00438727304444	0.0631185719259	0.596328591543	0.311806320506
a37	0.00363176240673	0.00206447050392	0.000441825935001	0.000303319574871	0.000637381846496	0.00132270792856	0.00532472832284	0.00421251437748	0.00482712618468	0.00234311597932	0.000960447074396	0.00210405774376	0.00355934759846	0.0120506540148	0.0425701489753	0.476222417181	0.437423966835
a16	0.00243730098891	0.00130729334464	0.000259173228334	0.000181118151624	0.000398726902165	0.000889914476187	0.00433154200761	0.00360749607249	0.00394603611489	0.00197679460311	0.000714076204799	0.00186595274792	0.00346100049949	0.0136423114049	0.0361934153251	0.416603315727	0.508184515612
a21	0.00545683078297	0.00366535799155	0.000763448089445	0.000517505220541	0.00108761032072	0.00226984645873	0.00669465810254	0.0044758806375	0.0069278697583	0.00294360894437	0.0013125458816	0.00240870774931	0.00349936459983	0.012250420535	0.0354152774417	0.397640705242	0.512670351871
a31	0.00620974352945	0.00429652774169	0.000899768302027	0.000608553026529	0.00127443472735	0.00263840191508	0.00714909984618	0.0045100157799	0.0076196790042	0.00313837893586	0.00145701305479	0.00248484066677	0.00331950927461	0.0110297758117	0.0886330574806	0.508031558414	0.346699640624
a37	0.00246333787828	0.0016615270584	0.000349622989554	0.000234107898525	0.000483041929558	0.000983956007201	0.00266999099406	0.0017115583607	0.0028085834195	0.00114438987635	0.000539333969187	0.000900225695923	0.00123005249954	0.00408883942723	0.0907877817602	0.545166609471	0.342777056875
a21	0.00217030179276	0.0013825818528	0.000291476413185	0.000190212199508	0.000374086923186	0.000727275599067	0.00197924713135	0.00133108115357	0.0019848213065	0.000784653468783	0.000379729469729	0.000603132655308	0.000894618566513	0.00268389566574	0.0393161888534	0.460449113157	0.484457585625
a27	0.00235194039759	0.0014373033176	0.000286915141062	0.000188097419836	0.000372023271062	0.000732978779689	0.00207877747712	0.00140591385119	0.00208353650217	0.000805467889594	0.000375256536576	0.000615062951769	0.000955112555504	0.00291957782191	0.0277489876178	0.445169127719	0.510473908542
a41	0.00239863086586	0.00138540790587	0.000245874093687	0.000164458333279	0.000341505830354	0.000703936616563	0.00205346339237	0.00133391468373	0.00221354530072	0.000791559029865	0.000359444892192	0.000592770597256	0.000916929085168	0.00278444334064	0.0226802832059	0.445622635906	0.515411182847
a10	0.00271136502195	0.00151848630196	0.000249007921229	0.000169171914426	0.000370458340118	0.000798342658854	0.00242745636412	0.00151986946124	0.00284351900024	0.000936538276622	0.000425215630731	0.000695253679085	0.00106060066172	0.00307669784688	0.0204220470686	0.455664291969	0.505111644282
a3	0.00233757887398	0.00129630739065	0.000206573193743	0.000139398911475	0.000307032103373	0.000666611826285	0.00204757968804	0.00127330101375	0.00243923513341	0.000776420575541	0.000354148901577	0.000572629233028	0.000886151680573	0.00255418156896	0.0167343913562	0.45998526399	0.507423174761
a11	0.00315402109133	0.00183836065355	0.000290174084581	0.000188565267158	0.000392720917791	0.000796354028762	0.00191001459601	0.00111710653125	0.0025006601778	0.00069273947518	0.000359691348526	0.000467548137676	0.000704972536858	0.00187902560965	0.0133111431187	0.460609897997	0.509787018254
a8	0.00501457946378	0.00325333238452	0.00053731507486	0.000341668379053	0.00070687990593	0.00141852524292	0.00294783939867	0.00162056497708	0.00405470422593	0.00108189339173	0.000607039566175	0.000732205532559	0.00101154552895	0.00270424960322	0.0149629690396	0.447396722666	0.511607989418
a20	0.00566355925459	0.00399013092817	0.00068081789162	0.000428509049684	0.00088322285531	0.00176874518097	0.00341231786622	0.00181278242569	0.00485816124198	0.00128566516391	0.000747290348725	0.000891105944186	0.00115544627632	0.00324957260107	0.0170434700132	0.434507500889	0.517621696473
a15	0.00650495808486	0.00481949964272	0.000829716163873	0.000517828196561	0.00105431433844	0.00208567332699	0.00367890802207	0.0018912812419	0.00564168841399	0.00142861428797	0.000872477192908	0.000993690814729	0.00120909122544	0.00348739970036	0.0183781450044	0.432133440296	0.514473232158
a31	0.00531595739495	0.00387040563424	0.000664147174624	0.000417186273854	0.00086220514948	0.00175333994233	0.00418827167402	0.00249157188063	0.00732830030466	0.00183312189599	0.000915258710969	0.00143429940491	0.00290578710848	0.00938104900012	0.0220858756681	0.450531780099	0.484021377386
a0	0.00227110920498	0.00148853421875	0.000249068933708	0.000161584997418	0.000351506616493	0.00076883467811	0.00293986204401	0.00198597065354	0.00559384993022	0.001404291921	0.000568879311656	0.00118568237664	0.00301920980616	0.010012379835	0.017443088156	0.461339400033	0.489216692462
a8	0.00121013337499	0.00081930106025	0.000146438926736	9.0410073606e-05	0.000182540235498	0.000371645776703	0.00119371135067	0.000791919127847	0.00208049440541	0.000530316286	0.000226367508552	0.000434642830547	0.00108081035539	0.00353334038	0.00841087048533	0.435403110011	0.543493914154
