 	è	facile	che	stanno	ancora	svegli	</S>
a31	7.8024565e-06	1.284446325e-06	1.16363176e-06	0.0001761244148	0.201207812	0.77737282	0.0212330532
a39	0.000200712651833	5.21166443917e-05	4.66497980933e-05	0.0003273363648	0.0715162936667	0.905693763333	0.0221631462
a31	0.000264515950552	6.89912497145e-05	6.17586568499e-05	0.000376246023384	0.0266016042222	0.950615697778	0.022011191
a0	0.000243696910125	6.33375348221e-05	5.98019397688e-05	0.000310443029579	0.0100978161407	0.938720365926	0.0505045742667
a31	0.000236757372245	6.14529643811e-05	5.91497086856e-05	0.000288508820232	0.0045885567069	0.934830088642	0.0599355537222
a13	0.000124854186285	3.26102069008e-05	3.22419629912e-05	0.00015105844045	0.00194535519563	0.902814662881	0.0948992368741
a31	8.755394235e-05	2.29960151799e-05	2.32727752977e-05	0.000105244718296	0.00108261120854	0.892046287627	0.106631994125
a37	4.6999741705e-05	1.39014562729e-05	1.51002620666e-05	5.71306642443e-05	0.000492026239513	0.761518695876	0.237856126542
a31	3.34873941397e-05	1.08703352127e-05	1.23764805571e-05	4.11143820081e-05	0.000410792129838	0.717583088625	0.281908251347
a11	1.33592431179e-05	4.49553919267e-06	5.32613355397e-06	1.65350329294e-05	0.000332743158279	0.677562912875	0.322064596282
a39	7.46979370597e-06	2.67609566422e-06	3.42126248466e-06	9.40912304313e-06	0.000128243370093	0.424566624292	0.575282148761
a0	5.21893663532e-06	1.76751362141e-06	2.51431129489e-06	5.75145808104e-06	5.92214946977e-05	0.287506694764	0.712418839587
a41	1.27664337784e-05	3.49255644047e-06	5.52411543163e-06	1.08839003603e-05	0.000103806230566	0.270665358255	0.729198169862
a0	2.56680862595e-05	6.03151691349e-06	9.77677781054e-06	1.93187277868e-05	0.000220801116855	0.321438929418	0.678279456621
a20	3.44036860865e-05	7.01384473783e-06	1.14700586035e-05	2.32822962623e-05	0.000345040915618	0.335785366473	0.663793402207
a31	0.000109203827696	1.75997180126e-05	2.36223422012e-05	0.000144741759087	0.00449142336187	0.489703378824	0.505509997402
a30	0.000123146925232	1.93169522375e-05	2.47040086004e-05	0.000178640815696	0.00576234444729	0.522883342941	0.471008479134
a41	4.95664760773e-05	8.70614297917e-06	1.18677477335e-05	6.6135163232e-05	0.00206509397576	0.411034847647	0.586763759711
a31	8.86519270258e-05	1.59192599931e-05	2.04156882445e-05	0.000157482723077	0.00454588315859	0.508619265882	0.486552373237
</S>	0.000143599188513	2.50725624965e-05	3.10446806223e-05	0.000275033821538	0.00791464407929	0.607786067941	0.383824566619
