 	sto	e	cucino	</S>
a31	0.0001101229765	0.00046649387	0.97215833	0.0272649913
a20	0.00256239254983	0.00207438640333	0.92053613	0.0748270313
a31	0.00337651621843	0.00257037704311	0.903750876667	0.0903022171
a37	0.00138145219129	0.0011100616897	0.791419468889	0.2060890257
a18	0.000803293563763	0.000697561653233	0.515327182963	0.4831719619
a31	0.000354695115484	0.000312251407078	0.594304687654	0.4050283563
a20	0.000145385229391	0.000116616329693	0.538181747218	0.461556234433
a31	7.57249764137e-05	5.70371945643e-05	0.518046757073	0.481820495811
a28	2.69558070879e-05	2.91884263881e-05	0.503273972024	0.49666991627
a33	1.06079991126e-05	1.04441764394e-05	0.171560546775	0.828418428757
a31	5.02021114542e-05	0.00019319012159	0.311335675358	0.688420949586
</S>	9.49850207271e-05	0.000380988510795	0.534905072679	0.464618949793
