 	non	sono	ancora	vestita	</S>
a31	8.5099719e-06	0.001565687275	0.332860865	0.657438445	0.008126461
a23	0.00185395289323	0.008090657475	0.163575538333	0.809054701667	0.0174251093333
a31	0.00246848418081	0.0102353116461	0.0840346687777	0.883804767222	0.0194567297778
a7	0.00083119744734	0.00348606453647	0.0402268612592	0.921262422407	0.0341934499259
a31	0.000285435381173	0.00123630400552	0.0209988127531	0.937335824136	0.0401436173086
a13	9.72220641173e-05	0.0004321396042	0.0132070249177	0.914093191379	0.0721704164362
a31	3.44870229404e-05	0.0001644513617	0.0108634831392	0.903567597126	0.0853699961454
a37	1.48599610481e-05	7.13693285333e-05	0.00845960721307	0.728819755709	0.262634419382
a18	8.85736084937e-06	4.15641663111e-05	0.00360300005436	0.410435265236	0.585911306461
a31	4.10858248312e-06	5.04676889037e-05	0.00809208900145	0.509026745079	0.48282656882
a46	2.05817098771e-06	5.19771450846e-05	0.00954167607048	0.49155954436	0.49884472294
a8	7.7555283357e-07	1.77030211449e-05	0.00334878380349	0.201053107453	0.795579624313
</S>	4.08178733285e-07	8.99644657245e-06	0.00181229996674	0.135639048727	0.862539237156
