 	la	casa	la	costruisce	il	mastro	</S>
a20	0.008631398275	0.000121843595	0.00069943243	0.018922838	0.1026515613	0.689846485	0.179126407845
a17	0.00290920187167	6.8004836e-05	0.000707826596667	0.0174502763333	0.0349478426377	0.884173145	0.0597436512383
a10	0.00157587078722	5.45164443333e-05	0.00245967355222	0.0256852844444	0.0117595021336	0.936326648333	0.0221384618061
a24	0.00140442966241	0.000548905222778	0.00674673238407	0.0359191481481	0.00402957146787	0.941589092778	0.00976209313537
a46	0.00336601138747	0.00174135237426	0.00970473712802	0.028784265716	0.00185011259596	0.950124254259	0.00442924987846
a8	0.122923857462	0.00616717279142	0.0115924240427	0.017250797072	0.00676981613199	0.82930873142	0.00598721459282
a14	0.251919745821	0.00974834476381	0.00996045154757	0.0134732748573	0.0260688017107	0.679823743807	0.00900566686427
a31	0.26180423194	0.00767995502127	0.00518253211586	0.0134339319524	0.0337838985702	0.669439814602	0.00867565195476
a20	0.230775757313	0.00578946460709	0.00397091590529	0.0157321639841	0.0455954285234	0.690791118201	0.00734512648492
a41	0.204623859104	0.0202212725357	0.0200062384351	0.0285830506614	0.120167526174	0.599194572734	0.00720341689497
a29	0.180696799701	0.0467259008452	0.0453465974784	0.0463240485538	0.178933308725	0.458024877578	0.0439484225317
a31	0.147565303234	0.0601607766151	0.0478874118261	0.0537015675179	0.150934742908	0.434068225859	0.105681944177
a30	0.110022490078	0.057085987205	0.057428444942	0.106174998173	0.236249960969	0.334177755286	0.098860347059
a31	0.0899158056927	0.0620651824017	0.069159834314	0.134145779391	0.251316328323	0.227640565095	0.165756494686
a28	0.141134871898	0.100340760801	0.0589118791047	0.094852739797	0.108262929108	0.206028531698	0.290468258229
a31	0.176591580633	0.134519270267	0.0668134063682	0.0935173099323	0.0532982247027	0.165750767233	0.30950942941
a17	0.144639726878	0.122669056756	0.0819063021227	0.110721203311	0.0625986969009	0.136361079078	0.341103939803
a20	0.104651375626	0.0967060955853	0.0818101507076	0.14351603777	0.0765741043003	0.103643745026	0.393098493268
a31	0.100728625209	0.0969044618618	0.0869806335692	0.145460149257	0.0627254181001	0.100232462009	0.406968244423
a20	0.100581991736	0.0983208122873	0.0897879995231	0.104044486419	0.0621066247	0.0992793656697	0.445878708141
a29	0.0942836905787	0.0934319374291	0.0880688435077	0.083054255473	0.0678660449	0.0936474152232	0.479647802714
a31	0.104156600193	0.103530062476	0.0973374998359	0.0770643818243	0.0685715496333	0.103042641741	0.446297244238
</S>	0.111638550097	0.110892633738	0.103737574918	0.0771047059122	0.0687780048167	0.11008594587	0.417762557119
