 	perché	aveva	lavorato	tutta	la	settimana	</S>
a31	0.43188993485	0.083919423	0.00290473047	0.002530522105	0.0833889245	0.3909985802	0.0043678926675
a20	0.167255181517	0.199388199667	0.153697028723	0.000870767130667	0.0811579848333	0.396025980067	0.0016049153175
a31	0.0908454371723	0.298915866556	0.406073842908	0.000315182847222	0.0328562057778	0.170165803356	0.000827740599167
a18	0.0468107143908	0.353746928852	0.488124620969	0.000136812597074	0.0185784484259	0.0921638377853	0.000438683211389
a31	0.0455472901303	0.409534616284	0.429470223656	0.000332472249025	0.0374024904753	0.0771994559284	0.00051343117213
a37	0.0937840300434	0.388100228761	0.356306584552	0.00148791966301	0.0700877954918	0.0867620119761	0.00347137032404
a13	0.112674023348	0.37885384292	0.271425971517	0.00565614548767	0.123071315164	0.0970006406587	0.011318011108
a31	0.074170139116	0.26324164264	0.162053072506	0.0119130321626	0.197538115055	0.273079886886	0.018004069036
a20	0.043752105372	0.122442007547	0.0790477338353	0.0194357957209	0.357691838352	0.359288325629	0.018342195012
a46	0.0382706774573	0.0730793941823	0.0499099456118	0.0273290115736	0.486041766117	0.29427696521	0.0310922446707
a31	0.0420015561524	0.0574305247274	0.0454804385373	0.0361441978579	0.395253232039	0.269635878403	0.154054151557
a13	0.0500740443841	0.0563552162425	0.0503128475124	0.046901000286	0.295240647346	0.236222106134	0.264894113852
a20	0.0567397934614	0.0596967434142	0.0560288455041	0.055007517762	0.241094365782	0.196609565378	0.334823137951
a31	0.0635046864871	0.0646401394714	0.063019230168	0.062526609254	0.168227291927	0.149338051793	0.42874397265
a46	0.072075938829	0.0727222981571	0.0714978347227	0.071426016418	0.138853420642	0.123086687264	0.450337790883
a39	0.0820004396097	0.0835147493857	0.0806581629076	0.081224648806	0.135956586881	0.111086367421	0.425559036961
a41	0.0942469252032	0.103318023129	0.0873422543025	0.0911368029353	0.170573632294	0.0946316841403	0.358750665654
a46	0.107285120401	0.14791729771	0.0756298257675	0.0937651676451	0.271360734098	0.0660899237134	0.237951931885
a39	0.112433110134	0.17669046257	0.0557158039225	0.090499484215	0.315629318033	0.0592835302378	0.189748313962
a8	0.131144540045	0.199862457523	0.0594584089742	0.100404511405	0.287034099344	0.0678538200793	0.154242189321
</S>	0.151320855023	0.225600078762	0.0698863644871	0.111914718202	0.281094164672	0.0677982950397	0.0923855516605
