 	non	ha	da	mangiare	</S>
a31	0.429083005	0.31235297	0.20066529	0.0528353305	0.00506344565
a20	0.501707978333	0.29398664	0.157586543333	0.0403365258333	0.00638238671667
a31	0.569583559444	0.147314726667	0.159669901111	0.0968548406111	0.0265770325722
a41	0.386350639815	0.195088098889	0.27343664037	0.11363311287	0.0314914972574
a10	0.267878783272	0.201776646296	0.35639964679	0.16069537029	0.0132495271525
a31	0.332263334424	0.108575693765	0.26498032893	0.24513901343	0.0490416107175
a15	0.311081518141	0.123176899588	0.203244972977	0.233553861143	0.128942730239
a31	0.240220302714	0.165875179863	0.188210707659	0.175185587048	0.230508216746
a39	0.227353327571	0.194576313288	0.16900851922	0.109918275683	0.299143545582
a37	0.217784245857	0.204866957763	0.161131346407	0.0836631318943	0.332554315194
</S>	0.205325257928	0.198101733881	0.158197408203	0.0799052059472	0.358470407597
