 	non	ti	dimentichiamo	mai	</S>
a8	0.97289518	0.020961706	0.001614123815	0.0023451141475	0.00218391865
a31	0.984919046667	0.009950462	0.001669765005	0.00237708943917	0.001083643321
a20	0.981981968889	0.00647643066667	0.009284217135	0.00117338793639	0.001083961978
a31	0.898652372963	0.0315451658889	0.062708288045	0.00266256651213	0.00443161385933
a13	0.865661464321	0.0436568036296	0.0731663183817	0.00801594297071	0.00949948695311
a31	0.83305431144	0.0754378162099	0.0358499768272	0.00966988052357	0.045988015651
a13	0.726666837147	0.0832928557366	0.0226314403757	0.00519263069119	0.162216205217
a1	0.705171165716	0.0515222412455	0.0178477008919	0.00247930001373	0.222979558406
a31	0.672835131905	0.0898402327485	0.0511199246306	0.00974467413791	0.176460016135
a41	0.533008940635	0.159741384249	0.12568360821	0.0329118207126	0.148654225378
a15	0.386238253545	0.209023961416	0.192803452737	0.0656992769042	0.146235055126
a13	0.318972951182	0.227011350472	0.216292530912	0.100450708968	0.137272453709
a31	0.283321303727	0.230073146824	0.219109843637	0.143497866323	0.12399782457
a11	0.252694984576	0.224587988941	0.216943834546	0.174415915441	0.13135724619
a31	0.228579931525	0.213496529647	0.209357071515	0.18217608848	0.16639034873
a46	0.205034573842	0.195610569882	0.193295483838	0.17711484616	0.228944499577
a31	0.183721724614	0.177103156627	0.176132481279	0.166537995387	0.296504633192
a46	0.166792568205	0.161941935542	0.161484430426	0.156891658462	0.352889404397
a31	0.163183602735	0.158916958514	0.158695453475	0.156095256154	0.363108698132
</S>	0.166028746367	0.163453099257	0.163307626737	0.161810958077	0.345399529066
