 	che	vende	buon	pane	</S>
a17	0.2291388465	0.462231045	0.0473550515	0.187761105	0.0735138435
a31	0.217732233167	0.523937098333	0.037414018	0.157135794	0.0637808158833
a11	0.0741839454557	0.802149719444	0.0201744301667	0.077940251	0.0255516093444
a39	0.0829677985519	0.691641719815	0.0396992233889	0.149686421	0.0360047557815
a35	0.346585979517	0.362517948938	0.047696549463	0.205158520333	0.0380409255938
a39	0.601131806506	0.156128251979	0.0278330251543	0.184276130111	0.0306307095313
a31	0.506588785502	0.192426223993	0.0246646587181	0.213041800037	0.0632784838438
a24	0.326914851834	0.301638727998	0.0339533672394	0.248548700012	0.0889443512813
a18	0.246641917278	0.396523049333	0.0466638227465	0.241042290004	0.0691289197604
a31	0.175110459093	0.480650123111	0.0864432735822	0.196558563335	0.0612375559201
a13	0.159511079698	0.429844141037	0.122869781194	0.165720504445	0.12205448864
a31	0.170198069899	0.306805233679	0.134178623731	0.152204031482	0.236614036213
a46	0.161232656633	0.22530068456	0.146298261244	0.149830120494	0.317338265404
a8	0.174235958878	0.190704408187	0.158648103748	0.157657433498	0.318754078468
</S>	0.181493904439	0.185704524093	0.166162891874	0.160722441749	0.305916204234
