 	Valeria	legge	il	giornale	</S>
a31	0.47240534	0.45717463	0.0540344425	0.0119119295	0.0044736339
a39	0.23639313	0.427135336333	0.0314942238333	0.2842535815	0.0207237473
a8	0.191431173333	0.278719835111	0.0221424806111	0.473092727167	0.0346138361
a31	0.369073831111	0.312549071704	0.0145085518704	0.274420010056	0.0294486303667
a11	0.649163977037	0.212199170568	0.0136593456235	0.107591106152	0.0173864725322
a13	0.827049125679	0.106970053523	0.0180322125412	0.041847949184	0.00610073062073
a31	0.886322541893	0.072047627841	0.0170084301804	0.0221050783947	0.00251638334024
a18	0.877439513964	0.0741674426137	0.0165340287268	0.0299965877982	0.00186242788008
a37	0.860766291321	0.0760231475379	0.0186795922423	0.0404985235994	0.00403243062669
a11	0.839744783774	0.0763836871793	0.0301436867474	0.0441652271998	0.0095626192089
a41	0.793878161258	0.104182920393	0.0392137172491	0.0529885550666	0.0097366291363
a14	0.699874920419	0.138999323464	0.059404614083	0.0857445610222	0.0159765921121
a31	0.546923373473	0.141256049488	0.133756878028	0.105592409007	0.0724713123707
a35	0.369759531158	0.138041148163	0.177228586009	0.193512131669	0.121458564124
a31	0.221009097053	0.121660938054	0.174688995336	0.236434887223	0.246206034708
a41	0.166936732351	0.118055868018	0.166837781779	0.184716655741	0.363452931569
a31	0.147137278784	0.122055022673	0.14952459726	0.16278444058	0.41849865719
a35	0.117809580928	0.103561147558	0.130293625753	0.131253595527	0.51708206573
a31	0.111120603643	0.103569892519	0.114336468584	0.117163386842	0.553809675243
a8	0.113724864548	0.10894566084	0.112598386195	0.113501593947	0.551229528414
a20	0.120731838183	0.117793766947	0.111725795398	0.110242701316	0.539505936138
a31	0.136321669394	0.133671798982	0.124573668466	0.103145867105	0.502287042046
a37	0.135328906465	0.133424618327	0.127496019489	0.104180112368	0.499570354015
</S>	0.126036978233	0.124594387163	0.120515904744	0.105197456184	0.523655257008
