 	io	non	so	cosa	è	da	scrivere	</S>
a48	0.00475305925	0.04995607645	0.0392478205	0.0377480605	0.376174954	0.087307285	0.3992981748	0.005514626795
a31	0.00491479598333	0.0537155164833	0.277364748833	0.0673626535	0.423417451333	0.03710256	0.1340323578	0.002089938115
a14	0.0502919590611	0.0248200541611	0.337391417611	0.0620274631667	0.431149650444	0.0439433216667	0.0494456042667	0.00093049198
a37	0.11131930302	0.0371428407204	0.118948920204	0.0356635357222	0.433513640148	0.204749317222	0.0558484314222	0.00281397328167
a10	0.10509352434	0.0635979035735	0.0503346524013	0.0372424169074	0.207988731383	0.258543639074	0.227898225141	0.0493008837606
a31	0.0872732261133	0.0803925011912	0.0320354934671	0.0815947846358	0.159554938461	0.188101746358	0.288332481714	0.0827148369202
a28	0.0982653267044	0.0851444937304	0.032553754489	0.113133061545	0.20676019282	0.258524822119	0.147207107238	0.0584112693067
a31	0.0958182189015	0.0641423479101	0.031774535163	0.087971060515	0.184056917607	0.361451860706	0.130571939079	0.0442131467689
a42	0.0803141363005	0.0432690793034	0.024613870721	0.049073598505	0.110674869869	0.359197726902	0.24427929636	0.0885774412563
a23	0.0719472387668	0.0350328797678	0.0205709332403	0.0288062131683	0.0555770932897	0.226042478967	0.310053825453	0.251969310419
a8	0.0879086695889	0.0461786765893	0.0319532434134	0.0342052770561	0.0459644190966	0.130556361656	0.248973848484	0.374259463473
</S>	0.108291094794	0.0595799182947	0.0433750387067	0.044097304528	0.0523706725483	0.116092518828	0.197999524242	0.378193896737
