 	ho	cosa	a	fare	</S>
a23	0.124332597	0.322199298	0.33711508	0.21531296	0.00104005115
a17	0.0709601536667	0.545958699333	0.27500556	0.107022023333	0.00105360545
a31	0.0456311345556	0.454875249778	0.267574533333	0.220648801111	0.0112703412167
a8	0.0304479855185	0.281760283259	0.423667744444	0.24972216437	0.0144018618156
a31	0.158476489173	0.22968752442	0.508600794815	0.09766218879	0.00557298074853
a13	0.252734169724	0.10936378514	0.425391471605	0.204460826263	0.00804969998284
a24	0.227941163241	0.0517654057133	0.274139878535	0.426754285421	0.0193992286609
a31	0.270164927747	0.0586764855711	0.148856604178	0.47843227514	0.0438696312203
a13	0.285538542582	0.0952108485237	0.108005411393	0.43626444838	0.0749806670734
a31	0.258843970861	0.136399649508	0.117577277131	0.341904592793	0.145274475691
a18	0.24562079362	0.187615236503	0.13793359571	0.221579794264	0.20725059523
a0	0.25238950454	0.224681798834	0.14850252857	0.161450734755	0.212975425077
a39	0.27095618818	0.251702189611	0.152757109523	0.128919438252	0.195665058359
</S>	0.28361627409	0.263831004806	0.154075624761	0.120330899126	0.17814620418
