 	deve	essere	bianco	</S>
a31	0.46713068	0.38669333	0.0010285554	0.145147456
a11	0.524458426667	0.319407716667	0.0550426881333	0.101091189333
a31	0.531044518889	0.232373795556	0.0822717440444	0.154309963111
a37	0.697044082963	0.131854293852	0.0411999880148	0.12990163037
a31	0.773383794321	0.140263529951	0.0194893616716	0.0668632814567
a37	0.596668984774	0.306160883317	0.0114296418905	0.0857404591522
a31	0.341491551591	0.521757727772	0.0343153732968	0.102435339717
a20	0.22503837053	0.587031629257	0.0853976160989	0.102532393239
a31	0.202388686843	0.455373186419	0.141432755366	0.20080537108
a0	0.212522048948	0.31528915214	0.189723905122	0.282464883693
a31	0.206556899649	0.253166020713	0.197820801707	0.342456254564
a20	0.192991853216	0.213633656904	0.189556403902	0.403818058188
a18	0.204676707739	0.225829545635	0.203719124634	0.365774599396
</S>	0.21449767387	0.241710872817	0.214645817317	0.329145609698
