 	non	ha	che	li	aspettiamo	</S>
a46	0.145882288	0.4356905075	0.1422147325	0.1406654505	0.127954092085	0.00759292785
a31	0.263507654667	0.458620999167	0.1685878775	0.0613957105	0.0436917137517	0.00419598721667
a15	0.356598851556	0.379000409722	0.1660240325	0.0398098575	0.0157195311172	0.0428472264389
a31	0.201378623852	0.366606239907	0.2726343175	0.0946647598333	0.0059382887724	0.0587777111463
a28	0.147629114617	0.207473513302	0.4661213925	0.150093799944	0.00266617864413	0.0260159590488
a20	0.248325271539	0.108882749101	0.516418044167	0.107456355315	0.00109477484804	0.0178228163496
a11	0.36321365718	0.1007584477	0.415812561389	0.0634131504383	0.00084950146268	0.0559526924499
a31	0.351165332393	0.1546574659	0.278593513796	0.0726074268128	0.0509199538876	0.09205629415
a11	0.315704300798	0.204131961967	0.179744474599	0.0726925222709	0.0794437212959	0.14828300805
a31	0.253852710266	0.184986163989	0.1368713182	0.0729172540903	0.0854999070986	0.265872636017
a46	0.174063876755	0.147683287996	0.120213132733	0.0855978246968	0.1108632257	0.361578635339
a31	0.135701387252	0.125255809332	0.107110592244	0.0876185748989	0.104489845233	0.43982379178
a11	0.111836054084	0.107840834444	0.0998376540813	0.0908383549663	0.0994664567443	0.490180673927
a31	0.109374998028	0.107608516148	0.103635876694	0.0986721399888	0.103529590581	0.477178881309
a11	0.111421599343	0.110550385383	0.108552933898	0.105784541663	0.10847040686	0.455220117103
a46	0.108874058114	0.108217231794	0.106225422966	0.102612623888	0.105195868953	0.468874799034
</S>	0.106160531557	0.105595685897	0.103153346483	0.098920296944	0.101721289476	0.484448874517
