 	essendosi	vestito	</S>
a46	0.4879155	0.4909843325	0.0211001295
a31	0.27653585	0.658365014167	0.0650990911667
a18	0.20396838709	0.646893954722	0.149137633722
a31	0.06833427506	0.701633418241	0.230032274574
a20	0.0228727364743	0.702737439414	0.274389794858
a46	0.0078106603591	0.485988384138	0.506200964953
a20	0.0178832901397	0.183705977713	0.798410751651
a31	0.30705400438	0.073859267571	0.61908675055
a0	0.60277300146	0.056212286857	0.341014720183
a46	0.611643400487	0.0677206922857	0.320635916728
a35	0.626775546829	0.0878031694286	0.285421288909
a46	0.67828974561	0.119983036476	0.201727209636
a24	0.68184853187	0.177384162159	0.140767309879
a46	0.64359455729	0.23652090072	0.119884536626
a24	0.582460815763	0.302062156907	0.115477005542
a31	0.464469945254	0.394612408969	0.140917611847
</S>	0.390796707627	0.436475854484	0.172727405923
