 	lo	ho	finito	di	fare	</S>
a8	0.045639845865	0.085976796	0.485573915	0.2338289608	0.144815803735	0.004164737655
a31	0.019342587865	0.103897746	0.723030278333	0.0883524648	0.0627714410683	0.00260550008833
a20	0.059128587955	0.105198167333	0.725802702778	0.0462212882667	0.0478722910228	0.0157769187961
a24	0.198841485985	0.142995205778	0.561794464259	0.0481030587556	0.0286966636409	0.0195691165987
a18	0.337162475328	0.206988725259	0.38963366142	0.0488150869185	0.010146860847	0.00725319003957
a31	0.291531528443	0.19603085842	0.445964033807	0.0570923276395	0.006296150149	0.00308509228652
a20	0.156913416148	0.134880999473	0.618531391269	0.0782184638798	0.008803302583	0.00265240179551
a10	0.0853190443827	0.0844998948243	0.674544873756	0.122324064627	0.0256600505277	0.0076519921985
a20	0.0513372771276	0.0524687439414	0.662607034585	0.181759401542	0.0417115728426	0.0101159247328
a7	0.0480581037092	0.0509032153138	0.565711831528	0.217125627181	0.0939108029475	0.0242904082443
a31	0.0678208559031	0.0688460317713	0.373749450509	0.221092152394	0.162968757649	0.105522721748
a20	0.0893178119677	0.0897040822571	0.244638566836	0.204923340798	0.20063099255	0.170785163916
a18	0.101031768656	0.102524077419	0.180485985612	0.183621623599	0.20099544085	0.231341067972
a24	0.108262035552	0.109825500806	0.141446828537	0.1496073112	0.176806993617	0.314051295991
a46	0.114040777851	0.116010616935	0.132549012846	0.137073627067	0.167487977872	0.332837971997
a31	0.112935407284	0.114479016978	0.126572012615	0.127316672356	0.147300969291	0.371395923999
a33	0.106800402428	0.107948180326	0.115871424538	0.117697854119	0.131018603097	0.420663508
a8	0.119423350809	0.120870616775	0.128699416846	0.127947544706	0.132219897699	0.370839146
</S>	0.134612660405	0.136077373387	0.142232898423	0.138832887353	0.134111888849	0.314132288
