 	le	ragazze	vogliono	guardate	</S>
a10	0.29099661825	0.4945010745	0.184649592	0.025403290835	0.0044493739
a20	0.346615671583	0.560762774833	0.0688905370667	0.00968292216833	0.0140480787
a31	0.487016557194	0.454252558278	0.0244947703556	0.00491557058944	0.0293205722333
a20	0.553775535731	0.407660586093	0.0130048995519	0.00241091428315	0.0231481452111
a11	0.76500806191	0.210835592031	0.015078680684	0.00114318154772	0.00793455663703
a31	0.767160240637	0.151656710677	0.072336851228	0.00363734208257	0.00520888854568
a0	0.541009586879	0.158712322226	0.220380280409	0.0119459093609	0.0679518904152
a31	0.32179773896	0.180822959409	0.32598079347	0.023780718787	0.147617743472
a39	0.21723822632	0.209005969803	0.335686657823	0.032250834929	0.205818277824
a18	0.18037288544	0.193486703268	0.288551082608	0.0382325383097	0.299356772608
a31	0.146971773813	0.167178901089	0.199377350869	0.0597207494366	0.426751220869
a8	0.128528473271	0.139523320363	0.148059003623	0.0699494004789	0.51393979029
a31	0.131728307757	0.136847463454	0.136296627874	0.0804789021596	0.514648696763
a46	0.127365735919	0.128969087818	0.125767937625	0.0960561440532	0.521841098921
a18	0.13068140864	0.131290492606	0.128707357542	0.0913245480177	0.51799619964
a35	0.13728954288	0.137188697535	0.136156869181	0.0856188493392	0.503746066547
a31	0.147136854293	0.146654412512	0.144949309727	0.10357054978	0.457688888849
a39	0.140403464764	0.139659069504	0.138850389909	0.11836310326	0.46272396295
a8	0.131469561588	0.131451698501	0.133810966636	0.08855713442	0.514710610983
a23	0.163908537196	0.1672416295	0.162075762212	0.05251963014	0.454254410328
</S>	0.186303368598	0.19143034475	0.180286761106	0.03977952307	0.402199980164
