 	sta	seduta	nel	giardino	nel	giardino	</S>
a33	0.08431696677	0.000122380578	0.0064815937	0.461078435	0.076313677	0.211948785	0.159738130601
a31	0.02891889987	4.45387077667e-05	0.00367029343333	0.669396408333	0.0549105756667	0.189783877567	0.0532753773447
a20	0.01362108839	0.0154002768624	0.00782968754444	0.662887536111	0.0873298352222	0.194986715089	0.0179448403416
a31	0.0135947734633	0.0248811129541	0.0119138028481	0.35092213537	0.0934909967407	0.49893120503	0.00626592691387
a20	0.0815117564878	0.014926544318	0.0116204189494	0.139999248457	0.0365520075802	0.71239993501	0.00299004798796
a38	0.289438422163	0.011980230106	0.0140469226498	0.0633233851523	0.0186278635267	0.59457007167	0.00801309269599
a31	0.342185267388	0.0113423010353	0.0193291718833	0.0387368280508	0.0145351118422	0.557548150557	0.0163231438987
a29	0.217725159129	0.00944719601177	0.0243077616278	0.0361224873503	0.0262223522807	0.646509340186	0.0396656942996
a20	0.231363363043	0.0158895830039	0.0400636832093	0.0558767347834	0.0533017757602	0.556650770062	0.0468541424332
a31	0.225572041014	0.019212825668	0.0589805894031	0.0817686849278	0.127166525253	0.438530856687	0.0487685451444
a20	0.132308028338	0.0157638282227	0.0794238951344	0.0988290099759	0.255940155084	0.364458058896	0.0532770523815
a46	0.0797904021127	0.0184548194076	0.122337920378	0.114134183325	0.348602778361	0.276115296299	0.0405646064605
a31	0.0589010653709	0.0222052198025	0.179089746793	0.134373731108	0.318192382787	0.2069394621	0.0802983838202
a20	0.0572077151236	0.0345572276008	0.254510732264	0.158062643703	0.233687660929	0.154968817367	0.107005151273
a31	0.0691028350412	0.0544987298669	0.312765430755	0.159713851234	0.17228564031	0.105229029122	0.126404437091
a39	0.0908200383471	0.079505898289	0.282353770252	0.145946373745	0.154723193437	0.0812496397073	0.165401072364
a0	0.113089729449	0.0964957510963	0.198649756751	0.112809343582	0.167546514479	0.0860804665691	0.225328444121
a20	0.10131515315	0.0847124370321	0.15666260225	0.122743190194	0.151723899826	0.090514055523	0.292328681374
a23	0.0718976427167	0.063980177344	0.126628634083	0.165565036731	0.126811994942	0.0905995751743	0.354516983791
a31	0.0854549492389	0.0811090491147	0.124447871361	0.13753920891	0.119439628314	0.0835609450581	0.36844836793
a20	0.107820296413	0.105411181372	0.13585562712	0.0838108196367	0.120254074105	0.0785226970194	0.368325312643
a31	0.123332022138	0.121754132124	0.134131882373	0.0537762138789	0.123887076035	0.0788637623398	0.364254927548
a46	0.126919754046	0.125813749375	0.131611534124	0.0492990586263	0.123286435345	0.0828102604466	0.360259192516
</S>	0.113326192023	0.112200057687	0.115402707062	0.0549519093131	0.119129877672	0.0880528877233	0.396936346258
