 	l'	ho	sentito	quando	veniva	</S>
a31	0.048457879	0.3672205822	0.49569608	0.0009678511975	0.0818747535	0.005782851566
a46	0.0324053886933	0.368409726733	0.382015846667	0.00276858229917	0.171126791167	0.043273650522
a41	0.0126891677578	0.134679744911	0.348443907556	0.00896053633306	0.211617703722	0.283608932174
a31	0.0129516174193	0.110898671637	0.149069056752	0.0131060024444	0.128106183241	0.585868494058
a24	0.103121551473	0.235787350546	0.069955265484	0.0252517348148	0.0556407594137	0.510243368019
a31	0.359030470491	0.231057827849	0.095296342828	0.0341519916049	0.0394931374712	0.240970252673
a15	0.46597770683	0.113999150283	0.115428674276	0.0264033318683	0.0606270188237	0.217564114224
a46	0.335851228943	0.103525135428	0.127057624759	0.0190858099561	0.145824971275	0.268655218075
a31	0.234271449648	0.124978850476	0.159959071586	0.0304427293187	0.228758993758	0.221588889358
a0	0.212665543216	0.172046916825	0.160965723862	0.0419816787729	0.201593207919	0.210746939786
a41	0.304963421072	0.255338415608	0.128047142954	0.0325246139243	0.10732157364	0.171804816595
</S>	0.384614325536	0.306834972804	0.102324003977	0.0264122749621	0.06056980332	0.119244533297
