 	non	ci	dimentichiamo	mai	</S>
a31	0.449397154	0.4079992225	0.108673268	0.0014156472	0.03251470615
a20	0.350928487333	0.528550524167	0.107215380167	0.00093569389	0.01236990955
a31	0.506351262444	0.435501461389	0.050738950889	0.000345079056667	0.00706321571667
a11	0.427644450815	0.528042533796	0.0373667602963	0.000380434655556	0.00656576643889
a20	0.434677430272	0.492279891265	0.0262175900988	0.000945663685185	0.045879389213
a31	0.590428726757	0.247004239088	0.0386002200329	0.00232002749506	0.121646786404
a11	0.551758128919	0.194231615029	0.059327060011	0.00533278949835	0.189350375468
a31	0.397003666306	0.31764002501	0.0934705866703	0.0247400678328	0.167145592823
a18	0.263926645435	0.41698624167	0.123716875557	0.0659594452776	0.129410755274
a42	0.207024878478	0.36452069389	0.132024181852	0.106843066759	0.189587168425
a31	0.186012302826	0.287824377963	0.156416827284	0.144641082253	0.225105412808
a18	0.193208244275	0.240200102654	0.181260575761	0.176899900751	0.208431207603
a31	0.197154704758	0.215677847551	0.191189985254	0.190225826917	0.205751659201
a39	0.196533034919	0.203347289184	0.192767548418	0.193203278972	0.214148849734
a31	0.196278674973	0.197770206395	0.193245066139	0.194268752991	0.218437299911
a20	0.194336741658	0.194302275465	0.192150518713	0.19295777433	0.226252673304
a39	0.192974597219	0.192340681822	0.190851946238	0.191815944777	0.232016804435
a31	0.19421539574	0.193494933941	0.192453602079	0.193105918259	0.226730138145
a14	0.19554661858	0.194115374647	0.193237590693	0.194208242753	0.222892172715
a46	0.195067566193	0.194526128216	0.192184026898	0.193693297584	0.224528964238
a20	0.193329585398	0.193772442739	0.189762538966	0.191987485861	0.231147908079
a31	0.193139968466	0.19302282758	0.189869529655	0.19195755862	0.232010106026
</S>	0.194176039233	0.19389808879	0.191993024827	0.19323963431	0.226693238013
