 	vuole	bianco	</S>
a20	0.939018735	0.002069316665	0.0589119505
a31	0.977368025	0.000764763846	0.0218672698567
a11	0.977966788333	0.000537782363	0.0214954593089
a31	0.876879562778	0.000857377521	0.12226306777
a39	0.627085527593	0.000879593407	0.37203491259
a20	0.591073925864	0.00129634910233	0.407629744197
a31	0.663405835288	0.101358188501	0.235235978066
a39	0.576545618429	0.265878126167	0.157576252689
a46	0.543683396143	0.342389392056	0.113927207563
a24	0.582825118714	0.319828997352	0.0973459038543
a46	0.618689039571	0.272802065784	0.108508942618
</S>	0.618394989786	0.259827432892	0.121777631309
