 	sembra	che	il	ladro	è	entrato	da	qui	</S>
a31	0.0002334092335	0.374828285	0.222258565	0.03024253085	0.0960178065	0.002139391	0.27181184615	0.0014836625565	0.0009845676
a28	0.00198982096683	0.175773538333	0.281263948333	0.0831226792833	0.113542346833	0.00154628174667	0.34136115205	0.0006552960065	0.000744968133333
a37	0.00276045322228	0.132341564778	0.423976672778	0.164954536428	0.0717094462777	0.000862806092223	0.201877184017	0.000384254994167	0.00113311751111
a31	0.00150989384076	0.134178696926	0.534878580926	0.188910272143	0.0429547570926	0.000381742410741	0.0947811880057	0.000145854460056	0.00225905943704
a11	0.00422329868025	0.160548925642	0.561947460309	0.171438700714	0.0262765030309	0.00028407241358	0.0573525860019	0.000146445483352	0.017782016479
a31	0.0112069728934	0.157308325214	0.425352030103	0.146402395238	0.037938480677	0.000353878664527	0.048831045334	0.000389400771117	0.172217473826
a20	0.0212918009645	0.172559565071	0.277970130034	0.107003036746	0.053461871559	0.000390083601509	0.0409410664447	0.000523393380372	0.325859054609
a31	0.0370339333215	0.18473043169	0.250130256678	0.128522418915	0.0802762105197	0.0039842781805	0.0500957234816	0.000855141816791	0.264371601536
a39	0.0637756457738	0.178202400563	0.256143488893	0.153564529638	0.0975783201732	0.0117792183935	0.0660045964939	0.00172932313893	0.171222490512
a31	0.0963208585913	0.164506110188	0.238601049631	0.145983293213	0.0962813700577	0.0361558757978	0.0817416908313	0.00935205531298	0.131057703504
a13	0.119818892864	0.159439096729	0.189873469877	0.127063781071	0.0972890000192	0.0612346272659	0.10181202361	0.0157422414377	0.127726861168
a31	0.126408968955	0.15461758891	0.153188276626	0.110174152024	0.0981048700064	0.0799701757553	0.110249931203	0.0381874734792	0.129098563723
a13	0.126148000985	0.143085289637	0.136471102209	0.110896599008	0.105575990002	0.0965952252518	0.116248700401	0.0567026331597	0.108276469574
a31	0.121831273662	0.136789413212	0.12607533407	0.107796651336	0.106277536667	0.102073468417	0.1159058568	0.0684960263866	0.114754428191
a39	0.117281164554	0.123269684404	0.118536979357	0.110534285445	0.109935368889	0.108035669472	0.1145178056	0.0894377854622	0.108451236064
a11	0.116848068185	0.121076008135	0.117497454452	0.112508833482	0.112405320963	0.111543353157	0.115370241867	0.0985017184874	0.0942489853547
a46	0.115456272728	0.118493356045	0.115849474817	0.112451054161	0.112431289654	0.111957844386	0.114291477289	0.105081566162	0.0939876751182
a18	0.115532367576	0.120446852015	0.116255544939	0.11144273472	0.111492087885	0.111130316462	0.113620027763	0.107831333387	0.0922487583727
a31	0.114072169192	0.118888049005	0.114754221646	0.110202243573	0.110308452628	0.110113783821	0.112207179254	0.109005995796	0.100447916124
a39	0.112461126397	0.115496764668	0.112873507215	0.110013261191	0.110116079209	0.110059544607	0.111309461085	0.109797038599	0.107873215375
a18	0.113551902132	0.119375914889	0.114414557738	0.109208217064	0.109429831403	0.109488428202	0.111563437028	0.1103289062	0.102638798458
a46	0.115486074044	0.134524324963	0.118433717913	0.102690515688	0.103311260468	0.103545124734	0.109563439009	0.108708548733	0.103736997819
a31	0.114800201348	0.135849811654	0.118091919304	0.100919150229	0.101602383489	0.101871665245	0.10839262967	0.108082670911	0.11038957594
</S>	0.113225350674	0.125552985827	0.115168274652	0.104976132615	0.105412911745	0.105579780122	0.109461059835	0.109239792456	0.11138372547
