 	che	sapeva	che	non	può	fare	il	bagno	</S>
a31	0.393952515	0.21613449	0.076746379	0.1263198723	0.002272537405	0.042725405	0.13954004125	0.00078685907	0.00152187565
a20	0.178086201667	0.198881156667	0.169063849667	0.2905432441	0.00273007296833	0.0198793402333	0.137740391417	0.00147039837	0.00160533728333
a28	0.106293997222	0.163107308889	0.251039973222	0.3892126047	0.00318382015611	0.00937032864443	0.0584611388057	0.00429094455667	0.0150398711944
a31	0.069330359074	0.178393152963	0.305592661074	0.379715898233	0.0058962152187	0.00611915388148	0.0308551036019	0.00432735541889	0.0197701041648
a39	0.0701106930247	0.228795330988	0.311612477025	0.338795786078	0.0146751737396	0.00280579722716	0.023670444534	0.00170104445296	0.00783325538827
a24	0.104692187675	0.212490470329	0.259083345675	0.297551012026	0.0207041429132	0.00878050734239	0.092840358178	0.000829457017653	0.00302848939609
a31	0.0843713385583	0.122626012443	0.171564377558	0.207598220675	0.0139509423711	0.139827402447	0.255992369393	0.00258782702588	0.0014814819987
a17	0.0405131701861	0.0569137898143	0.0903542068527	0.104582470225	0.00603585115703	0.256599974149	0.434512536464	0.00863799557529	0.0018499907329
a31	0.0242542673954	0.0322510656048	0.0589414336176	0.0779313567417	0.00635485201901	0.247443594716	0.506579432155	0.0350577585251	0.0111862421443
a39	0.0210211807985	0.0268623755349	0.0438552952059	0.0567013405806	0.00882932233967	0.270915254905	0.458613397385	0.0763399795084	0.0368618617148
a41	0.0245828825995	0.0307896325116	0.0396583590686	0.0420183235269	0.0125538024466	0.250538914968	0.338597372462	0.0844112345028	0.176849497238
a31	0.0356443841998	0.0399282001705	0.0449707840229	0.046698788509	0.0273300094822	0.162963801656	0.198676214154	0.0679190111676	0.375868832413
a33	0.0441296337333	0.0462059757235	0.0486808876743	0.0505947951697	0.0399307788274	0.107828883885	0.118959378051	0.0595417143892	0.484127944138
a31	0.0481624919111	0.0493433169078	0.0505506112248	0.0515279993899	0.0457135962758	0.085105761295	0.0876167193503	0.0567030984631	0.525276381379
</S>	0.0511716334556	0.0517978274539	0.0524656666124	0.0530788861949	0.0498672731379	0.0754271556475	0.0753998846752	0.0566947162316	0.534096940689
