 	vengono	vestiti	dai	genitori	</S>
a31	0.012687121	0.025983605	0.11413740385	0.4231777875	0.424014054
a46	0.254197602667	0.0230650446667	0.18581816795	0.392606851833	0.144312329933
a18	0.571800300889	0.0261207052222	0.18861015265	0.157602303278	0.055866565911
a31	0.71844314363	0.0419487434074	0.12887750755	0.0812657417593	0.029464924637
a11	0.81129151121	0.0581335878025	0.06359225185	0.0489323345864	0.018050349879
a31	0.790555823737	0.0749970659342	0.0495676746167	0.0416090858621	0.0432703956263
a39	0.708726107912	0.129193718645	0.0671521828722	0.036305812954	0.0586222195421
a31	0.501527962637	0.179818546215	0.0979336609574	0.0728486276513	0.147871224181
a35	0.345821024212	0.260679082072	0.123102363652	0.0984570575504	0.17194048906
a31	0.281888011404	0.273150574024	0.126054014551	0.17314955085	0.145757837353
a18	0.220528910468	0.242158531341	0.134185541517	0.264749923617	0.138377065451
a0	0.232855090156	0.304046957114	0.130968140506	0.244645474539	0.0874842981503
a31	0.191716295052	0.259936085705	0.109699613502	0.197884351513	0.240763629383
a37	0.163765636684	0.202609558568	0.119281371167	0.223754117171	0.290589321128
a20	0.163437838895	0.195097456189	0.131841547056	0.23474007239	0.274883108376
a31	0.136239352965	0.149249912063	0.122190572352	0.177951377463	0.414368796125
a41	0.131726860988	0.138127984021	0.124464757451	0.158547109154	0.447133278708
a20	0.138222563663	0.14303042134	0.133244565817	0.156859649718	0.428642769569
a31	0.139140754554	0.141859927113	0.135952861939	0.150938476573	0.432107959856
a20	0.143126194851	0.145589459038	0.14032533398	0.150629288858	0.420329719952
a39	0.14944207495	0.153438246346	0.145820557993	0.154241332953	0.397057769984
a46	0.162278798317	0.172344988782	0.154461299331	0.161306770984	0.349608119995
a41	0.189849229439	0.237529572927	0.158000396444	0.162608863661	0.252011896665
</S>	0.20889090972	0.288809446463	0.156794573222	0.15964857683	0.185856423333
