 	dei	genitori	</S>
a31	0.44196358465	0.491913422	0.066123015
a20	0.44635747655	0.511487622	0.0421549283333
a31	0.185528867183	0.769200320667	0.0452708407778
a18	0.116796885728	0.837550820222	0.0456523182593
a24	0.0680257659093	0.884201806741	0.0477724127531
a28	0.146982369303	0.677775468914	0.175242130918
a31	0.326926873101	0.349642410971	0.323430703639
a20	0.425125861034	0.19778312499	0.37709101788
a31	0.449273653678	0.17956464833	0.37116170596
a20	0.475425764559	0.19535638611	0.329217841987
a39	0.52387397152	0.189711938703	0.286414073996
a46	0.54137537384	0.186970629568	0.271654007999
</S>	0.53494523692	0.184953969784	0.280100823999
