 	questa	canzone	è	scritta	da	un	poeta	nostro	</S>
a31	0.1765654495	0.3218752235	0.08843872075	0.00276786415	0.254370334343	0.14729732977	0.0083636159775	8.119656935e-05	0.00024028804
a24	0.0660280828333	0.122580307833	0.186990916917	0.01994227815	0.346907934781	0.248389733257	0.0086868544925	0.000234612819783	0.000239263823333
a31	0.0342336789444	0.0590818909443	0.344423595639	0.0416249503833	0.284594851594	0.231868244419	0.0037530815975	0.000251079522261	0.000168597577778
a20	0.0182496696481	0.0297406529814	0.351294235213	0.0357786671278	0.399339233865	0.16331060814	0.0020711149325	0.000117971713087	9.78603725927e-05
a0	0.00984516654937	0.0310337439938	0.199179641738	0.0388861277093	0.599133331288	0.118430720713	0.0033226733775	0.000111306134362	5.73609061976e-05
a13	0.0185693325165	0.0553809209979	0.109156850579	0.102292829236	0.598332170429	0.0842765049043	0.0316726360592	0.000175526228121	0.000143302984066
a31	0.0548711898388	0.0693495989993	0.0787861718597	0.120739819079	0.459087383476	0.134541351635	0.0816241666864	0.000298024659374	0.000702326128022
a24	0.0595367622796	0.0503824069998	0.0747905289532	0.0664349570263	0.398762814492	0.262971237212	0.0845256312288	0.000777917019791	0.00181772230934
a31	0.0359288720932	0.0255111553333	0.0819083529844	0.0324771526754	0.316550591497	0.457642152404	0.0462733140763	0.00146082327326	0.00224752990311
a37	0.0306101076977	0.0189749151111	0.0838776493281	0.0181444585585	0.182493097166	0.631750064135	0.0281171453588	0.00308736159109	0.00294515900104
a31	0.0321891815659	0.019413285037	0.0917269614427	0.0145873848528	0.126277889055	0.678371368045	0.0236788504529	0.0058329469637	0.00792210016701
a20	0.046874711522	0.0259297673457	0.101457730481	0.0146890469509	0.0869036713517	0.680127536015	0.0221287004843	0.00816850965457	0.013720276389
a31	0.064799662174	0.0402112991152	0.101869713494	0.0259358909836	0.0759418054506	0.532424078672	0.0327197721614	0.0199380905515	0.106159639463
a39	0.0977176157247	0.0588146610384	0.111123327831	0.0394915513279	0.0730884318169	0.324380546224	0.0445507763871	0.0331664848505	0.217666569821
a31	0.107301635242	0.0699176950128	0.102398561277	0.051599574776	0.0691707906056	0.203316687075	0.0555286454624	0.0465270982835	0.294239283274
a20	0.0921983217473	0.0738034616709	0.0885638824257	0.0644507649253	0.0724179368685	0.125862565358	0.0663515171541	0.0617719327612	0.354579587758
a31	0.0929552822491	0.0823006638903	0.0894101941419	0.0766811416418	0.0803051389562	0.103825713119	0.0777982723847	0.0751153709204	0.321608215919
a20	0.092640739083	0.0876809712968	0.090790784714	0.0849874538806	0.0866230896521	0.0963428577063	0.0855708657949	0.0842370936401	0.291126135306
a39	0.090320334361	0.0868957104323	0.088831458238	0.0849457446269	0.0860049212174	0.0917184192354	0.0854167369316	0.0844174625467	0.301449181769
a31	0.093010082787	0.0909789401441	0.0921429394127	0.089774388209	0.0904739350725	0.0934479897451	0.0900992456439	0.0894509305156	0.270621533923
a46	0.0940444742623	0.092334860048	0.0932742464709	0.0913010560697	0.0918846103575	0.0943853465817	0.0915917702146	0.0910242785052	0.260159354641
a31	0.0948940534208	0.0934012146827	0.0942098088236	0.0924888353566	0.0930090721192	0.0953178021939	0.0927534334049	0.0922448481684	0.25168091488
a18	0.0950632231403	0.0939197115609	0.0945251229412	0.0932193531189	0.0936426607064	0.095527137398	0.0934448428016	0.0930343963895	0.24762350496
a31	0.0955540710468	0.094550814187	0.0950683996471	0.093935387373	0.0943101869021	0.0959494757993	0.0941394192672	0.0937743987965	0.24271783832
a8	0.0943382336823	0.0937845563957	0.094097838549	0.093430540791	0.0937437723007	0.0950640952664	0.0935987434224	0.0933383012655	0.24860393944
</S>	0.0893747818411	0.0888347581979	0.0891438492745	0.0884915453955	0.0888576111503	0.0907514126332	0.0886999097112	0.0884018956327	0.28744423472
