 	mi	si	gonfiò	il	dito	</S>
a41	0.4682780675	0.0381524615	0.079063923885	0.3902533915	0.0016982919	0.02255384895
a20	0.393672434167	0.0403094511667	0.0841088186283	0.471435097167	0.00121634678	0.00925782918333
a39	0.502152184722	0.0466757810556	0.0606772168761	0.383798309056	0.000958787006667	0.00573769662778
a31	0.385053371574	0.0989483736852	0.0987542456254	0.411311003019	0.00101201023556	0.00492096287593
a37	0.316841320525	0.103534128895	0.134446615208	0.440316491006	0.00189981724519	0.00296156915864
a21	0.308348693508	0.053164642965	0.151877938403	0.440213763669	0.0435405350817	0.00285435748621
a38	0.210322177836	0.023780608655	0.174808229468	0.37012490789	0.217261240027	0.00370277526207
a18	0.085562008612	0.0108268556183	0.142244858823	0.302893669297	0.453349923342	0.00512265895402
a46	0.035001993704	0.0069872636061	0.0733139602743	0.316941789766	0.551819674447	0.015935310318
a31	0.0258734387347	0.0138606485354	0.0465984044248	0.367365696589	0.448217278149	0.0980845014393
a20	0.0312479542449	0.0252019458451	0.0423652908083	0.393769872196	0.276026859383	0.231388027146
a46	0.0388017267483	0.035734364615	0.0453517436028	0.364603570732	0.164090905128	0.351417642382
a31	0.0560776639161	0.0545430028717	0.0596209712009	0.277053500244	0.116930037043	0.435774794127
a8	0.065323167972	0.0644164729572	0.0673371204003	0.220331443415	0.097012555681	0.485579211376
a31	0.0767456496573	0.0760513043191	0.0778256484668	0.187432721138	0.0946166568937	0.487328020459
</S>	0.0912181578287	0.0906496921595	0.0917983267334	0.158385440569	0.103759380947	0.46418903523
