 	l'	ho	sentito	che	viene	</S>
a34	0.0297666295	0.0546346195	0.59775365	0.0394153855	0.27554088675	0.00288884815
a46	0.01276419428	0.0546167182	0.798727163333	0.0354700440333	0.0965647116167	0.00185719200667
a41	0.00455914113	0.0199616472667	0.614456766111	0.0454550568778	0.224091235406	0.0914761670589
a19	0.0034566233	0.0291919072556	0.30085773037	0.113756285626	0.417575151802	0.13516231702
a31	0.0376060491	0.0650216477519	0.20522063479	0.124794101875	0.507820627267	0.0595369800067
a20	0.131194213033	0.104525329251	0.20642010293	0.135993300625	0.401217533756	0.0206495783356
a31	0.152198501011	0.12097837775	0.221497500977	0.252962206875	0.226952855919	0.0254106007785
a24	0.132090697004	0.13319960725	0.164082543659	0.350023352292	0.184217155306	0.0363866789262
a31	0.112059059001	0.113230431083	0.119719281886	0.270468830764	0.171730878435	0.212791548975
a23	0.054022930667	0.0603878596943	0.0591382536287	0.128294120255	0.211217442812	0.486939396325
a20	0.0325274545557	0.0453278805648	0.0310993202096	0.0812357234183	0.207129690937	0.602679908775
</S>	0.0299711772778	0.0463511402824	0.0260759451048	0.0750241567091	0.198056835469	0.624520719387
