 	viene	fabbricato	</S>
a31	0.88165325	0.000559364445	0.1177873735
a24	0.948388183333	0.002176242565	0.0494355601667
a31	0.976483347778	0.00281670958833	0.0206999147222
a18	0.978201002593	0.00955802859611	0.0122409209074
a31	0.975582734198	0.0128581209654	0.0115590853025
a37	0.937970144733	0.00642082568847	0.0556089854342
a31	0.803513068244	0.0139252384962	0.182561675145
a20	0.651621909415	0.0506055314987	0.297772565048
a41	0.532547269805	0.1441752325	0.323277478349
a31	0.430885856602	0.2468601575	0.322253956116
a35	0.392225262201	0.304575635833	0.303199098705
</S>	0.393719046101	0.326143702916	0.280137249353
