 	il	lenzuolo	vuole	lavato	</S>
a31	0.104075973	0.77705495	0.0069732693	0.102197378	0.00969834515
a7	0.0836763171667	0.79621695	0.0042743795	0.104032077	0.01180023605
a31	0.0364541522222	0.872743883333	0.0034796716	0.0674444	0.0198778766833
a0	0.0255056500741	0.661436207778	0.0074067481	0.203583126667	0.102068262228
a17	0.0359310096914	0.456631682593	0.0147649903667	0.364760132222	0.127912183076
a13	0.108363240564	0.528987444198	0.0169082221222	0.286989460741	0.0587516003587
a31	0.131400317855	0.431573181399	0.0478421403741	0.351544796914	0.0376395671196
a17	0.0789252249517	0.207514607133	0.146691488125	0.516270665638	0.0505980523732
a8	0.0775623063172	0.121707369044	0.251014566042	0.413772415213	0.135943370791
a31	0.107411398772	0.120228323015	0.244806935347	0.254284221738	0.273269150264
a24	0.140583916257	0.134863477672	0.249803645116	0.186972137246	0.287776846755
a46	0.196478975419	0.145362769224	0.319746041705	0.144919052415	0.193493200252
a24	0.302919021806	0.153599616408	0.319806930568	0.101955590805	0.121718868084
a37	0.308411323935	0.140329355469	0.336024570189	0.090632976935	0.124601779361
a31	0.218271927978	0.133115971823	0.321296873396	0.111736625645	0.215578609787
</S>	0.186588743989	0.138541525911	0.268766771698	0.128619952822	0.277483004893
