 	l'	ha	scritta	</S>
a20	0.443358965	0.5439715525	0.00982385125	0.00284560265
a31	0.284098031667	0.685580000833	0.0164386005833	0.0138833208167
a35	0.295313193889	0.549647010278	0.0494744131944	0.105565346939
a31	0.200372401296	0.571911463426	0.0538495127315	0.17386659898
a35	0.214851940432	0.590579854475	0.0308190055772	0.163749186327
a31	0.435583100144	0.385444551492	0.0202629743591	0.158709355442
a41	0.526850966715	0.227447917164	0.013564043953	0.232137075147
a31	0.457353298905	0.246662872388	0.0239092593177	0.272074601716
a11	0.426310909635	0.316076450796	0.0371193297726	0.220493333905
a18	0.400684749878	0.354944990265	0.0375937799242	0.206776484635
a13	0.382218396626	0.371354803422	0.0344198119747	0.212006971545
</S>	0.371212698313	0.376203441711	0.0329239089874	0.219659925772
