 	ha	che	sono	usciti	</S>
a31	0.3041663675	0.195278779	0.051400972	0.4380449175	0.01110894715
a13	0.2896549925	0.230172779667	0.108078014	0.359331730833	0.0127624642833
a8	0.117170599833	0.123571709889	0.13418742	0.616735640278	0.00833465499443
a24	0.121591168944	0.153544853296	0.082105231	0.620635580093	0.0221232073315
a31	0.369752246315	0.200386901099	0.076273916	0.328517538698	0.0250694004438
a0	0.602788315438	0.1330965537	0.123318508667	0.126268714899	0.0145278878146
a31	0.479993898479	0.111356359567	0.152057746222	0.198661134966	0.0579308696049
a8	0.22342896616	0.0977755648557	0.127329394074	0.451473068322	0.0999930482016
a23	0.105102862053	0.0705290516186	0.101149921691	0.590709179441	0.132509014401
a8	0.0700342840177	0.0692201772062	0.110875188897	0.566820809814	0.183049518134
a23	0.0641210980059	0.0845761037354	0.150868216299	0.485620963271	0.214813589378
</S>	0.0633309090029	0.0932813938677	0.173948708149	0.440575481635	0.228863494689
