 	mi	sono	vestito	</S>
a39	0.473633628	0.4682278906	0.037807757	0.02033070675
a11	0.436732674667	0.4959374052	0.052396171	0.0149337260833
a13	0.586011491556	0.228875680067	0.133464810333	0.0516479763611
a18	0.415799173852	0.201953590022	0.290380516778	0.0918667001204
a31	0.200907493951	0.249309960007	0.479589152259	0.0701934237068
a37	0.161563363984	0.204640613336	0.598483950753	0.0353121149023
a15	0.242707111328	0.159847957779	0.536972006918	0.0604729643008
a31	0.273955873776	0.160761905926	0.377109675639	0.188172579434
a46	0.203484219259	0.138888510309	0.267432828546	0.390194446478
a31	0.124774631086	0.113061078436	0.181927449515	0.580236848826
a20	0.097544100362	0.0937972894787	0.118513943172	0.690144682942
a31	0.0904710287873	0.0900234464929	0.0993947710573	0.720110770981
</S>	0.0904690473936	0.0901518632464	0.0952232105287	0.724155900491
