 	sono	vestita	</S>
a31	0.91278493	0.002467290575	0.0847477915
a20	0.965218776667	0.000871945542	0.0339092796333
a31	0.978184092222	0.000320899941	0.0214949763444
a41	0.654587181407	0.000144020422	0.345268747115
a46	0.451334431136	0.000191525809	0.548474015705
a18	0.672321130379	0.008985602123	0.318693238568
a24	0.75350904346	0.0640044367077	0.182486466189
a31	0.654514381153	0.208342962236	0.137142625396
a11	0.552006807051	0.341048617412	0.106944548465
a0	0.543907939017	0.351757282471	0.104334767488
a15	0.505946079672	0.247496184157	0.246557750496
a8	0.542787386557	0.177140071386	0.280072550165
a39	0.627861178852	0.233854503795	0.138284313388
</S>	0.619924939426	0.280653091897	0.099421951694
