 	e	che	cucino	</S>
a31	0.36813688	0.474724395	0.148429209	0.00870950085
a24	0.58034549	0.26314924	0.147667895	0.00883736818333
a31	0.811507606667	0.116813462	0.0604992495	0.0111796953944
a11	0.615507708889	0.0528162773333	0.297702565667	0.0339734544648
a46	0.31195979963	0.0323700444444	0.613990968556	0.0416791821549
a41	0.26887086321	0.0622188704815	0.642813479519	0.026096789385
a20	0.208868884403	0.119791366827	0.644144693173	0.027195032795
a36	0.143306774801	0.241557622276	0.561787631058	0.0533479459317
a31	0.1343664816	0.281357074092	0.368111730353	0.216164701977
a46	0.172323610533	0.234460418031	0.277021410118	0.316194540659
</S>	0.203016480266	0.249548334016	0.270753725059	0.276681440329
