 	venne	scritto	</S>
a31	0.234410545	0.597962885	0.167626595
a28	0.234910608333	0.594996061667	0.170093345
a8	0.252855496111	0.673196320556	0.073948185
a31	0.25517951537	0.644886393519	0.0999340983333
a20	0.18503430179	0.713048364506	0.101917325778
a31	0.34546895393	0.587000671502	0.0675303615927
a13	0.53208126131	0.347229537167	0.120689183864
a29	0.609053230437	0.251881245722	0.139065489621
a39	0.708708430146	0.177182845241	0.114108704874
a31	0.643105773382	0.188669331747	0.168224898291
a35	0.503316311127	0.241146253916	0.255537416097
a31	0.379722780376	0.254048187972	0.366229005366
</S>	0.318747640188	0.237778648986	0.443473702683
