 	non	ci	dimentichiamo	mai	</S>
a31	0.54952455	0.030941118	0.044071857	0.24683443	0.12862809
a20	0.87663555	0.0016926817	0.0046568103	0.09550582	0.021509277
a31	0.3964633	0.0026221753	0.008760797	0.53484213	0.05731163
a11	0.666297	0.0028968605	0.004469752	0.26652855	0.059807796
a20	0.047433022	0.0012167474	0.007000576	0.8116339	0.13271579
a31	0.041892186	0.0013780089	0.018963387	0.78655535	0.15121101
a11	0.24221198	0.02147286	0.042806633	0.4916802	0.2018283
a31	0.013180933	0.0006439812	0.013388439	0.84066606	0.13212061
a18	0.17185362	0.020270336	0.058006145	0.5536655	0.19620441
a42	0.005956436	0.00050446077	0.0075665107	0.8761956	0.10977698
a31	0.021766216	0.0006885331	0.00887666	0.865889	0.10277956
a18	0.15378757	0.015338926	0.027569849	0.65832144	0.14498231
a31	0.010238572	0.0014807819	0.008857171	0.8693176	0.11010588
a39	0.2735934	0.037040133	0.039212238	0.5554254	0.094728835
a31	0.030049173	0.0073435428	0.03208785	0.76211554	0.16840385
a20	0.6101164	0.066446975	0.038003106	0.23795916	0.04747438
a39	0.044201836	0.018390413	0.07456496	0.59805685	0.26478595
a31	0.09480203	0.02528053	0.090782225	0.4868632	0.302272
a14	0.75069773	0.077296935	0.037061878	0.097680055	0.037263393
a46	0.06748886	0.027342593	0.07837726	0.49749756	0.32929373
a20	0.14312474	0.030820375	0.08586261	0.42499498	0.31519726
a31	0.16161217	0.030479297	0.08305138	0.4174133	0.3074439
</S>	0.6380944	0.067556076	0.038914543	0.15006751	0.1053675
