 	l'	ho	sentito	quando	veniva	</S>
a31	0.029860461	0.08822398	0.1886489	0.32604402	0.3346062	0.032616362
a46	0.0120963175	0.007639806	0.01969524	0.23373167	0.6832999	0.043537077
a41	0.0007178489	0.0016566635	0.024458135	0.20264266	0.65723515	0.11328949
a31	0.0006920017	0.005620966	0.03048152	0.110952616	0.5163074	0.33594546
a24	0.0019802216	0.015858166	0.29118508	0.36888385	0.26670274	0.055389993
a31	0.001382672	0.010280502	0.03660568	0.20080678	0.5471563	0.20376809
a15	0.0016851177	0.018316114	0.22839753	0.36483395	0.29014856	0.0966187
a46	0.00024391664	0.0020396274	0.018016944	0.07705869	0.29816934	0.6044715
a31	0.0007889872	0.0075137895	0.06561569	0.10211317	0.20775892	0.61620945
a0	0.0021122815	0.0042496845	0.039886545	0.1060056	0.34764442	0.50010145
a41	0.0023870082	0.014614056	0.12659582	0.1454666	0.24516606	0.46577042
</S>	0.0068950574	0.04145771	0.34670034	0.17668247	0.22284642	0.20541805
