 	se	avevi	visto	le	nuvole	sapevi	che	piove	</S>
a20	0.007043606	0.1798093	0.065567315	0.034192972	0.1400391	0.048242167	0.17367603	0.34244156	0.0089880135
a13	0.02617686	0.47571963	0.14938265	0.06607167	0.060729437	0.13041893	0.040990222	0.046433125	0.004077409
a20	0.011755427	0.27496794	0.089882985	0.050938126	0.067632884	0.34888327	0.05713925	0.079986356	0.018813724
a7	0.008025266	0.47217202	0.07802084	0.033385906	0.05588963	0.24476382	0.035890542	0.067306586	0.0045454046
a36	0.009177615	0.48984778	0.08777199	0.038966324	0.07043268	0.16982128	0.03977024	0.088495374	0.0057166666
a7	0.011578098	0.57399625	0.10918572	0.03661954	0.07184395	0.08476685	0.035783246	0.07357631	0.0026500595
a31	0.012721207	0.456989	0.18286909	0.06765918	0.091362156	0.050129	0.043264806	0.0911399	0.0038656567
a37	0.0060647344	0.4212186	0.05778749	0.031655513	0.117984995	0.05932081	0.06886094	0.23312247	0.003984406
a31	0.0078128455	0.5181849	0.16577828	0.04213157	0.07130055	0.0718961	0.038528178	0.082490504	0.001877066
a37	0.005537579	0.3794557	0.047897544	0.021327749	0.12489336	0.048818074	0.087754205	0.2803235	0.003992351
a41	0.0054329513	0.54646754	0.246678	0.045663208	0.04693094	0.03410888	0.02381489	0.050194696	0.00070891995
a21	0.008364927	0.46892256	0.28395084	0.07791531	0.06568039	0.009276705	0.028183153	0.056993082	0.000713012
a31	0.0064403573	0.48409975	0.30794677	0.06971179	0.051363144	0.009357283	0.022676762	0.047888592	0.0005155311
a39	0.006517574	0.34816283	0.06786389	0.025644008	0.121847264	0.03884594	0.10788081	0.27838475	0.0048529655
a13	0.003577304	0.6342039	0.24863602	0.032592	0.024379082	0.017959831	0.013252907	0.025063891	0.000335085
a31	0.0031763064	0.60789716	0.27733925	0.04050538	0.027650407	0.0064888042	0.011913222	0.024813442	0.00021598201
a20	0.0044395793	0.3542922	0.06300339	0.019168552	0.09800666	0.03897889	0.10428825	0.3140406	0.0037817683
a31	0.0007812705	0.83386165	0.12605442	0.00892702	0.006822308	0.011548049	0.0037190754	0.008140695	0.00014552542
a35	0.0024643792	0.3586126	0.052774735	0.011677986	0.06591264	0.03847445	0.094831504	0.37298632	0.002265438
a31	0.0002061617	0.88576	0.07979796	0.0039176363	0.005051329	0.011398803	0.003199739	0.010548963	0.000119337376
a26	0.0014459024	0.34387583	0.039561845	0.0063958704	0.03614437	0.03623564	0.0802492	0.45476496	0.0013263981
a9	0.00019948154	0.875939	0.057868596	0.0027919582	0.0060854885	0.021605704	0.006817488	0.028486555	0.00020565915
a33	0.0001918109	0.9063065	0.04813945	0.002671542	0.0062928884	0.00808283	0.004840279	0.023367409	0.00010727946
a31	0.0002770449	0.88165563	0.058969226	0.0032656838	0.007960299	0.0075803273	0.0073504834	0.032802027	0.0001392668
a39	0.0011041905	0.37113005	0.03028779	0.0036903287	0.018276773	0.031217953	0.05821989	0.48531687	0.0007561927
a24	0.00012507435	0.9290067	0.02531518	0.0015482838	0.0034024112	0.013323838	0.003720963	0.023306152	0.00025134181
a37	0.00011564215	0.9392545	0.027048444	0.0012087335	0.0025452245	0.009091402	0.0032297361	0.017309168	0.00019705434
a7	0.00012825873	0.94738895	0.019301737	0.0014446974	0.0031192715	0.008064075	0.003206796	0.01694739	0.00039874885
a17	0.00022834637	0.9259312	0.021603592	0.002308187	0.004892396	0.012725515	0.0054713096	0.025801955	0.0010374383
a24	0.00015773658	0.96079975	0.008743118	0.00072134956	0.0023408365	0.0051747193	0.0038595872	0.017795	0.00040784964
a34	0.00015126407	0.96645	0.00896092	0.0007445251	0.0021878688	0.0038523867	0.003253314	0.0140589345	0.00034074235
a37	0.00017616084	0.9612857	0.009141685	0.0006013137	0.0020062702	0.0061854967	0.0037464804	0.016563322	0.0002936049
a31	0.00023873794	0.95282453	0.008908994	0.0010816822	0.004235278	0.005329914	0.0046946625	0.022087608	0.00059856434
a37	0.0006337991	0.9120391	0.021663224	0.0014607828	0.0034020771	0.007406687	0.007016788	0.04623524	0.00014235015
a41	0.0002816596	0.9427598	0.0076162773	0.00091452687	0.0052546347	0.007825993	0.0059639937	0.028875822	0.0005073515
a31	0.0003709872	0.9370326	0.011001952	0.0014462232	0.005766763	0.005697885	0.0062640645	0.031859927	0.0005596157
a28	0.00062030274	0.91778034	0.021093674	0.001371058	0.0033530644	0.0066316607	0.005661743	0.043397572	9.062992e-05
a20	0.00024528304	0.93874246	0.0060155443	0.00069378817	0.0049714483	0.01338425	0.0061501437	0.029279523	0.0005175267
a17	0.00041698513	0.9256886	0.013323802	0.0018015871	0.00740135	0.0059319143	0.0068305386	0.03811235	0.0004928284
a31	0.00028314063	0.93979686	0.008252419	0.00069760287	0.003195728	0.01171239	0.0055355662	0.03023311	0.000293025
a24	0.0006312037	0.9103948	0.02099647	0.0013204449	0.0036709995	0.008637572	0.0057206135	0.048540555	8.720282e-05
a20	0.00022475638	0.95709956	0.008133433	0.00072229636	0.003040455	0.0058039892	0.004346771	0.020357924	0.00027088053
</S>	0.0004449415	0.9232174	0.017051484	0.0023922466	0.007677408	0.006209926	0.0064411233	0.035974797	0.00059064385
