 	dopo	Giovanni	é	tornato	a	casa	</S>
a31	0.060718432	0.3409084	0.12239217	0.07586287	0.22881496	0.15346622	0.017836992
a20	0.23520243	0.34631106	0.120320775	0.0887013	0.099678725	0.086517185	0.023268515
a17	0.49115023	0.20242788	0.14199279	0.026764702	0.036709707	0.081222385	0.019732367
a31	0.1641296	0.08822422	0.07850176	0.05669233	0.1816167	0.3553521	0.07548326
a39	0.28102514	0.17460825	0.018292574	0.034514092	0.253802	0.19976749	0.037990477
a31	0.21544705	0.13044353	0.29670247	0.062806286	0.0897276	0.16472363	0.040149413
a20	0.10623745	0.14520405	0.04535327	0.08918261	0.44528645	0.14351997	0.025216212
a31	0.02765082	0.13529393	0.6875658	0.050263826	0.029416522	0.049680535	0.02012854
a13	0.05749832	0.18828759	0.1421124	0.15763615	0.3325025	0.10644251	0.0155205615
a24	0.014726346	0.100614026	0.7571053	0.045623012	0.023682099	0.041650344	0.016598858
a46	0.033747945	0.16286317	0.6402595	0.06769902	0.02966769	0.04702113	0.018741488
a31	0.04162902	0.14627923	0.7029029	0.036734607	0.020226948	0.036211547	0.016015742
a20	0.05089134	0.19863872	0.22687374	0.19615103	0.23873627	0.07710568	0.011603164
a31	0.005499911	0.050085668	0.822416	0.034424458	0.025337752	0.04455746	0.017678829
a18	0.042972792	0.22869042	0.42696717	0.14703153	0.10602863	0.043346412	0.0049629887
a20	0.0063176076	0.033355173	0.7724556	0.035698656	0.046353586	0.07854057	0.027278937
a31	0.01048867	0.0345248	0.5887512	0.04603269	0.10206786	0.16472799	0.05340675
a11	0.07200588	0.23525843	0.55453855	0.059936687	0.05229702	0.02355758	0.0024058588
a31	0.012687204	0.030046882	0.3713803	0.05646643	0.17520083	0.269596	0.08462239
a28	0.13348536	0.27722594	0.46118838	0.039574344	0.06030754	0.025082316	0.0031360777
a41	0.011963948	0.020715304	0.1489752	0.054269154	0.27764338	0.3899134	0.09651959
a8	0.016429741	0.019750204	0.084930755	0.05262182	0.331263	0.40919393	0.08581053
a33	0.05265138	0.036196392	0.07325007	0.05805471	0.3691898	0.34204116	0.0686164
</S>	0.10643521	0.0751354	0.07306428	0.06332395	0.36579067	0.26606077	0.050189678
