 	cosa	fa	Anna	il	sabato	mattina	</S>
a46	0.00017130261	0.004822527	0.311391	0.08882315	0.013476765	0.55153626	0.029778952
a31	0.0010032735	0.03803123	0.8615144	0.0656795	0.0014323819	0.029826175	0.002513005
a6	0.00047078342	0.002614542	0.45913234	0.06141705	0.014624601	0.42903805	0.032702573
a31	9.9694225e-05	0.0025622724	0.5097223	0.039902575	0.003107547	0.42536327	0.019242268
a37	0.00048068422	0.00029343215	0.31771818	0.012927928	0.0042308806	0.65437704	0.009971794
a31	2.9083727e-05	0.00084258104	0.47928792	0.021216542	0.0009334294	0.4911806	0.006509875
a17	9.422376e-05	0.00029043533	0.09797455	0.011995973	0.0050791968	0.87468207	0.009883563
a31	6.4705084e-05	0.0010377782	0.36581445	0.034254674	0.0019852184	0.5869224	0.009920788
a17	7.122068e-05	0.0006862256	0.101873375	0.018595697	0.006706061	0.86026275	0.011804682
a31	6.7624045e-05	0.002497322	0.70121807	0.07015436	0.0019536116	0.21701045	0.0070985868
a8	0.00031855833	0.0021257882	0.31743282	0.07886659	0.0123179145	0.5766375	0.012300744
a31	9.542483e-05	0.005063279	0.8283036	0.069270514	0.0015929672	0.09042113	0.005253086
a28	0.00055301655	0.0030227476	0.46394593	0.09498214	0.007668362	0.42192832	0.007899463
a0	8.892248e-05	0.007992289	0.8617225	0.05945605	0.002532853	0.060685895	0.0075213835
a41	0.00010649767	0.008846317	0.8620556	0.053671867	0.0025665194	0.064656556	0.008096648
a39	0.00012972658	0.00922388	0.8399192	0.051354073	0.0040085493	0.08311053	0.012254013
a31	0.0001609032	0.0096572265	0.78273165	0.056391325	0.007549585	0.12289523	0.020614022
a39	0.0013326656	0.008782329	0.6788426	0.12103275	0.0046290304	0.18041909	0.0049615735
a31	0.0003603249	0.013606725	0.753485	0.05100626	0.008239928	0.14903866	0.024263108
a18	0.0026268375	0.015782971	0.7217087	0.091734275	0.0035229	0.16022484	0.0043994463
a31	0.00066843256	0.014033608	0.6179775	0.045732778	0.011794639	0.2746387	0.035154387
a18	0.0042589535	0.026624184	0.7196837	0.07306748	0.0036010565	0.16805893	0.004705634
a31	0.0010483506	0.011931751	0.46878973	0.03844563	0.013601495	0.42946646	0.036716506
a39	0.0057452423	0.037708156	0.68949354	0.060546298	0.004310243	0.19682248	0.005374125
a41	0.001591375	0.010871612	0.36912432	0.032325782	0.013218509	0.54314715	0.02972129
a8	0.0017593376	0.008596044	0.3188287	0.029400725	0.013948499	0.59659183	0.030874908
a31	0.0023370145	0.012401883	0.34541312	0.03134914	0.013434055	0.56878465	0.026280187
a46	0.007304269	0.050696626	0.6165094	0.05024523	0.006949539	0.26106262	0.00723223
a8	0.002370764	0.010219412	0.29016757	0.03050272	0.014742839	0.6260734	0.025923317
</S>	0.002969982	0.012560552	0.3133769	0.031586953	0.01450814	0.60075563	0.024241827
