 	non	so	cosa	scrive	</S>
a46	0.07265992	0.21407625	0.026897551	0.6049324	0.0814339
a8	0.30400357	0.0113989925	0.00035687903	0.6667432	0.017497363
a31	0.008268875	0.0019845138	0.00010877179	0.9790456	0.010592107
a13	0.013100897	0.0010473089	0.00010589879	0.98036826	0.005377556
a31	0.0067326385	0.0030154707	0.0002475013	0.96314037	0.026864072
a28	0.034902323	0.0035674868	0.00047137841	0.9324113	0.028647536
a31	0.015583365	0.017431466	0.0020596767	0.8303562	0.13456933
a37	0.035965458	0.01954091	0.0020767504	0.8386527	0.103764236
a31	0.0052777757	0.0075215832	0.0007079772	0.874671	0.11182169
a11	0.31605434	0.06356278	0.0072292862	0.5683409	0.044812705
a31	0.026425796	0.004907698	0.002265077	0.9175007	0.04890069
a20	0.72909415	0.0975	0.013834785	0.13758664	0.021984529
a31	0.015585689	0.005328521	0.0038610592	0.9210425	0.05418225
</S>	0.659188	0.07210654	0.017554255	0.22265032	0.028500924
