 	un	forno	che	fa	buon	pane	</S>
a31	0.122906186	0.45161155	0.08005793	0.1356752	0.10593539	0.09966506	0.0041486314
a20	0.091115326	0.29262424	0.15948449	0.13455413	0.1244519	0.18096286	0.016807089
a28	0.14999636	0.1760084	0.03349668	0.23826656	0.07215263	0.31220347	0.017875973
a31	0.123531245	0.18253548	0.028522054	0.27700406	0.092221774	0.27574918	0.020436201
a18	0.079646684	0.39062738	0.13252772	0.11544357	0.15618606	0.11975892	0.0058096633
a13	0.17670809	0.30888984	0.032020573	0.21936221	0.06386051	0.1789747	0.020184046
a39	0.24460438	0.5485246	0.057679225	0.07212768	0.024070594	0.046404254	0.0065892413
a20	0.30662155	0.5640351	0.051877398	0.041832928	0.012239196	0.02008393	0.0033099432
a31	0.44073322	0.47667533	0.03386983	0.030692657	0.006735997	0.009367512	0.0019254246
a20	0.11439038	0.465412	0.07546717	0.11812366	0.12195051	0.09476723	0.009889032
a39	0.41510603	0.41674262	0.045818273	0.0714662	0.017871017	0.022220766	0.010775103
a18	0.36585927	0.53014284	0.04761426	0.03687864	0.009914106	0.0068718665	0.002718918
a39	0.32960966	0.51283765	0.066545844	0.052948583	0.017046396	0.01387163	0.007140207
a46	0.2337438	0.53730756	0.08522783	0.08222193	0.028677888	0.021352965	0.011468005
a38	0.17599176	0.49300092	0.113336205	0.113608584	0.05112929	0.034237146	0.018696096
a39	0.11421895	0.4183685	0.15607075	0.13162313	0.08052056	0.06253042	0.036667753
a31	0.07353205	0.35733077	0.1612147	0.16560672	0.10592744	0.08764569	0.048742667
a18	0.059845228	0.14857598	0.040324137	0.3915936	0.15859704	0.1632486	0.037815325
a31	0.06788697	0.35430634	0.20611429	0.12287011	0.096218616	0.094227925	0.058375712
a41	0.09531685	0.18140022	0.03897824	0.3675767	0.15273865	0.13921742	0.024771834
a35	0.056004003	0.3630295	0.25307587	0.102196306	0.1162438	0.07352785	0.035922617
a31	0.06492293	0.31210163	0.20654087	0.13626267	0.16573039	0.083642885	0.030798638
a28	0.11108976	0.16795862	0.030531969	0.3211957	0.16586177	0.18660842	0.016753769
a27	0.047691025	0.3306502	0.27278098	0.09925397	0.14549068	0.07590159	0.028231591
a13	0.054246683	0.32836816	0.2459697	0.11266397	0.15009779	0.07581772	0.032836024
a46	0.054638237	0.29745296	0.2222429	0.13538645	0.16745389	0.08614389	0.03668171
a24	0.05665863	0.3057625	0.2265489	0.12889853	0.16807449	0.08122734	0.032829594
a39	0.065634616	0.28672096	0.19515446	0.15960784	0.1454928	0.10031859	0.047070645
a31	0.054124303	0.3118516	0.2297945	0.13214013	0.15240419	0.08072311	0.03896229
a11	0.106037885	0.16780014	0.03322776	0.34407178	0.16026877	0.16583693	0.02275673
a31	0.050904956	0.3461063	0.27415487	0.0961206	0.1289025	0.071980774	0.031829964
a21	0.1098097	0.16170865	0.028504897	0.301796	0.17313576	0.21068425	0.014360745
</S>	0.045323655	0.2773315	0.24144213	0.11858564	0.19769248	0.09503136	0.024593223
