 	sto	ancora	cucinando	</S>
a20	0.52105623	0.066907495	0.40381777	0.00821846
a31	0.9367036	0.020517282	0.0395469	0.003232071
a37	0.6430872	0.052462548	0.29696226	0.0074880105
a20	0.82735765	0.016724657	0.14357445	0.012343279
a31	0.55035806	0.023985488	0.3896372	0.036019243
a30	0.148792	0.028305473	0.80392116	0.018981317
a46	0.19691455	0.048088346	0.64736676	0.10763039
a31	0.52217597	0.080076985	0.34167382	0.056073222
a39	0.24424845	0.057078343	0.60256034	0.09611282
a15	0.053423204	0.0848693	0.7833562	0.078351304
a20	0.042236228	0.08896053	0.8123656	0.056437653
a22	0.03194022	0.09331288	0.8226158	0.05213114
a31	0.029391723	0.08131724	0.8210988	0.068192236
a46	0.21613348	0.06315885	0.6455991	0.0751085
</S>	0.030983105	0.05971694	0.8611899	0.048109964
