 	il	lenzuolo	vuole	lavato	</S>
a31	0.19326493	0.18243088	0.0042151674	0.4865756	0.13351339
a7	0.020399934	0.0042968853	5.393538e-05	0.8493404	0.1259088
a31	0.0094076395	0.0018948026	0.00011506701	0.8250436	0.1635389
a0	0.015417829	0.0065327445	0.00011449015	0.9133473	0.06458761
a17	0.0019208096	0.0022101793	0.00014994066	0.8790901	0.116629064
a13	0.0033383993	0.0067939805	0.00029705974	0.87802076	0.11154975
a31	0.013147438	0.029393725	0.0012121688	0.80133575	0.1549109
a17	0.007101557	0.005974177	0.00041781756	0.8884667	0.098039635
a8	0.0015304398	0.0017582787	0.00014413023	0.8836086	0.11295859
a31	0.0041323993	0.008939742	0.00041117985	0.91809916	0.06841754
a24	0.042785387	0.012006134	0.0032366132	0.80321914	0.13875276
a46	0.0016669204	0.0029168807	0.0007153259	0.8906298	0.10407111
a24	0.002551475	0.011715481	0.0011735335	0.90564597	0.078913555
a37	0.0020697457	0.019646248	0.0023803734	0.86444694	0.11145664
a31	0.0060405647	0.054910477	0.004368184	0.80591303	0.12876771
</S>	0.017758608	0.036466874	0.0050927564	0.8035147	0.13716698
