 	il	morto	si	piange	</S>
a20	0.0014826859	0.6785665	0.28425968	0.022760106	0.012931088
a31	0.0005253471	0.038618393	0.026202017	0.8614616	0.07319264
a18	0.0005614587	0.53547114	0.22443406	0.21481073	0.02472257
a15	3.765059e-05	0.12931107	0.060049683	0.75691676	0.053684827
a31	4.17988e-05	0.17955169	0.08258106	0.65424097	0.08358448
a15	0.00034143357	0.69728655	0.21379618	0.07073202	0.017843802
a31	5.6515306e-05	0.14725299	0.074147224	0.6827861	0.09575714
a29	0.0003333435	0.69644976	0.25045666	0.033045683	0.019714562
a31	3.250348e-05	0.04898335	0.030688653	0.7305714	0.18972409
a0	0.00065019797	0.522071	0.27231282	0.092355035	0.112610914
a31	3.0024768e-05	0.012609281	0.012435377	0.57183975	0.40308562
a13	0.0011907901	0.36811802	0.1979084	0.16570307	0.26707968
a18	4.659984e-05	0.007677649	0.008568983	0.5037549	0.4799519
a41	5.8151476e-05	0.009879323	0.011242007	0.5164032	0.46241736
a31	0.00012651499	0.02209417	0.021784028	0.5386326	0.41736266
a18	0.0015068094	0.14979957	0.0894541	0.24364552	0.515594
a31	0.0002675204	0.027598742	0.03552177	0.49134573	0.4452662
a46	0.0021794029	0.12935501	0.08579872	0.30089703	0.48176983
a31	0.0006293493	0.04303085	0.051425874	0.62244457	0.2824694
a0	0.0030609234	0.15496369	0.104381025	0.3593523	0.37824208
a31	0.00085837656	0.05180664	0.05839477	0.67020625	0.21873401
</S>	0.0036453784	0.16614184	0.11419703	0.38897556	0.32704017
