 	oggi	io	non	ho	cosa	da	fare	</S>
a46	0.14764361	0.49044228	0.028221523	0.31871137	0.0068463157	0.0010268724	0.006787753	0.00032034543
a27	0.25866887	0.4427576	0.072086	0.21170832	0.0031518224	0.0020316034	0.0048165726	0.004779195
a8	0.18658058	0.41096517	0.0493617	0.3223773	0.0045004594	0.0023504575	0.015635518	0.008228874
a28	0.10720735	0.4064517	0.022418883	0.4258637	0.0046446137	0.0016827444	0.02489987	0.00683109
a31	0.12653841	0.5377829	0.013484371	0.31566435	0.0015578107	0.0008910586	0.0026873543	0.0013937557
a24	0.08318307	0.33717722	0.02252366	0.5250768	0.00739763	0.0005199599	0.023461608	0.00066008244
a31	0.09957779	0.50226057	0.01545111	0.36411473	0.0044339853	0.002489345	0.00786249	0.0038100185
a10	0.0661758	0.35264876	0.023918172	0.5208368	0.01307195	0.0011967769	0.021456743	0.0006950061
a20	0.17600627	0.5609898	0.0153033165	0.24245508	0.0015481485	0.0013928028	0.0012478803	0.0010567654
a31	0.28507587	0.57574254	0.016431257	0.12051865	0.0009453975	0.0005256154	0.00043071757	0.0003299228
a39	0.058716312	0.47909677	0.012679972	0.43090078	0.0072887316	0.0026562943	0.0076589896	0.0010020777
a31	0.17035682	0.6855543	0.019952713	0.11847265	0.0016502568	0.0017163728	0.00092444895	0.0013724115
a18	0.027892282	0.5558934	0.011929881	0.38997385	0.0044640843	0.0038237905	0.0046243053	0.001398367
a31	0.030247388	0.81505597	0.015336984	0.1213157	0.0030595365	0.0041719	0.0043059643	0.0065065576
a17	0.012599945	0.62876356	0.007543716	0.34504515	0.0017317978	0.0016882261	0.0020226033	0.0006050869
a31	0.019297775	0.7090087	0.008452079	0.24027741	0.004643812	0.0025252108	0.010584478	0.005210553
a8	0.012557429	0.6105518	0.003977811	0.3681006	0.00092560693	0.0007432001	0.0029276996	0.00021591858
</S>	0.022876393	0.5547273	0.005611057	0.38516995	0.0032214415	0.0015183715	0.024012066	0.0028633613
