 	la	casa	la	costruirono	i	muratori	</S>
a31	0.029930837	0.000544149	0.015657697	0.2726544	0.467557	0.20148769	0.012168239
a17	0.00697082	0.0013781079	0.025931124	0.6137973	0.18064696	0.14788283	0.023392752
a39	0.0063190926	0.0006772547	0.016409341	0.3810132	0.24511062	0.3239868	0.02648365
a3	0.007246691	0.00021882672	0.012208172	0.26139104	0.27518195	0.4179035	0.025849877
a35	0.016485376	0.0003180444	0.013304687	0.22768302	0.2715439	0.4448941	0.025770947
a31	0.04735764	0.0009781874	0.020712687	0.2244223	0.27195683	0.4090598	0.025512494
a24	0.025675707	0.0009335409	0.060711168	0.30077532	0.48999816	0.102499016	0.019407026
a31	0.053293623	0.0017218443	0.017326655	0.21352254	0.26312068	0.42624596	0.024768727
a39	0.024450297	0.00079219934	0.040814083	0.30363098	0.5187323	0.09390642	0.01767362
a31	0.055193152	0.0014287335	0.016800549	0.18788858	0.22204316	0.49902093	0.01762488
a24	0.018094955	0.0005379232	0.029707367	0.30929318	0.5284597	0.09889442	0.015012365
a31	0.009233908	0.00064816937	0.016882898	0.20567778	0.2145244	0.52714777	0.025885073
a28	0.013580595	0.00047253296	0.02621157	0.31576282	0.5255815	0.10373869	0.014652321
a45	0.003947381	0.0002832254	0.013699616	0.1469788	0.13703452	0.67183787	0.026218632
a31	0.009666802	0.00036102452	0.0069413385	0.1662693	0.14988963	0.648412	0.018459897
a20	0.010154094	0.00031826206	0.012371392	0.343336	0.49331322	0.13203824	0.008468753
a31	0.008929962	0.00035392694	0.0077514593	0.121963814	0.1325179	0.7041676	0.024315331
a8	0.018504342	0.00063551613	0.014226368	0.3265195	0.45498434	0.17738089	0.00774903
a31	0.023084981	0.0005359958	0.0047959196	0.13561164	0.15312922	0.66879916	0.014043051
a20	0.035615474	0.0011057417	0.0124950465	0.3073779	0.40946567	0.2279649	0.0059752753
a18	0.012799855	0.0004860221	0.0065370463	0.14449994	0.19476919	0.6119852	0.028922707
a31	0.010433342	0.00049804983	0.0070116655	0.15799628	0.20753083	0.58456635	0.031963475
a11	0.078471646	0.0024608325	0.018226746	0.24884866	0.35128972	0.29304904	0.0076533267
a27	0.009967565	0.00058262754	0.00790502	0.16823247	0.22557434	0.5531445	0.034593455
a31	0.0066416357	0.00056770607	0.008774262	0.18347582	0.23284385	0.53018516	0.037511524
a0	0.106998965	0.0031964022	0.020349246	0.22088288	0.33113337	0.30808392	0.009355204
a31	0.011258037	0.00077700155	0.008879609	0.18232204	0.23880224	0.52865165	0.029309433
a18	0.097892016	0.0032464266	0.01828952	0.21402018	0.32177603	0.33674893	0.008026886
a31	0.008673177	0.0007897541	0.009349437	0.19430408	0.24993275	0.5103853	0.026565498
a46	0.09179647	0.0033766371	0.018340608	0.21099317	0.3163785	0.35107052	0.008044104
a14	0.011347333	0.0010638419	0.010146184	0.19878738	0.2530467	0.5022907	0.023317812
a8	0.008293455	0.0009687485	0.010288586	0.2108042	0.24935594	0.49646586	0.023823213
a31	0.013423884	0.0013162831	0.011098574	0.20194097	0.24964042	0.49923536	0.02334454
</S>	0.08436428	0.003486731	0.018526534	0.20796907	0.30935946	0.36807105	0.008222907
