 	io	nella	mia	vita	ho	sempre	lavorato	</S>
a8	0.044110928	0.015282656	0.13290173	0.3095612	0.28815392	0.16610625	0.041078713	0.002804602
a31	0.11126653	0.10364339	0.127936	0.14657448	0.0828853	0.4040682	0.014918962	0.008707135
a29	0.024565468	0.047786407	0.17544758	0.24356267	0.16821988	0.2834989	0.045957755	0.010961349
a10	0.0465823	0.02175296	0.057406925	0.119769715	0.0976062	0.6189459	0.030568127	0.007367954
a24	0.039902255	0.0049954224	0.056829944	0.20776184	0.1326018	0.5434058	0.013164374	0.0013385053
a31	0.0425354	0.00751905	0.09428205	0.27293503	0.16955967	0.38566548	0.024546565	0.0029567794
a24	0.027429618	0.009521517	0.107748196	0.34528187	0.33156353	0.14124547	0.034779273	0.0024304632
a16	0.09751963	0.0309946	0.12051459	0.25142154	0.16854894	0.27764136	0.044682622	0.008676715
a31	0.2564131	0.050428923	0.13038146	0.19481067	0.07288518	0.2844525	0.009162907	0.0014652795
a20	0.030373367	0.0132206995	0.12650622	0.39404824	0.30287156	0.1040211	0.026858138	0.0021006106
a31	0.1720654	0.016419895	0.06847018	0.1530013	0.06541466	0.514248	0.0083641615	0.002016348
a11	0.027443899	0.007419243	0.09695898	0.3763321	0.3104093	0.15499957	0.024648717	0.0017881885
a17	0.053509876	0.00348349	0.030904057	0.0875157	0.043768637	0.7704228	0.007750267	0.002645191
a11	0.047015913	0.008886353	0.09185389	0.22896546	0.07444154	0.54142654	0.0059526735	0.001457632
a17	0.1339055	0.019240016	0.10909743	0.17741485	0.046809833	0.5071182	0.0051937243	0.0012204519
a31	0.09224231	0.030494472	0.18055682	0.2997318	0.07135826	0.32083547	0.00398708	0.0007938005
a20	0.022316132	0.002682034	0.04798187	0.28019345	0.23342174	0.39359897	0.018302402	0.0015034232
a31	0.09152473	0.006730482	0.04804539	0.08778823	0.031047737	0.72628266	0.0067358944	0.0018449471
a20	0.01653101	0.001718217	0.03195446	0.22244576	0.16710621	0.5509903	0.008530869	0.00072325626
a8	0.022618841	0.0016713474	0.020900434	0.04885756	0.020374395	0.8767196	0.006298697	0.002559173
a31	0.020872515	0.004085736	0.0548535	0.11996573	0.04223296	0.7527271	0.004321336	0.00094110484
a24	0.01659996	0.0015262637	0.019019239	0.14691016	0.093320526	0.71850836	0.003814024	0.00030156138
a31	0.023192734	0.0034888051	0.034830023	0.07952312	0.027343314	0.82231677	0.0062347213	0.003070462
a10	0.019114703	0.0024030157	0.025052935	0.15745369	0.083291374	0.708862	0.0034667805	0.00035546478
a31	0.023357322	0.0023669132	0.018226534	0.09818008	0.06443832	0.77425987	0.013796758	0.0053742053
a11	0.025752107	0.0027454402	0.023809673	0.14019957	0.070198596	0.73403794	0.0029672664	0.00028943323
a46	0.028185835	0.0026489215	0.015741415	0.096069284	0.07177315	0.7683476	0.012513664	0.004720097
a6	0.025978563	0.002674427	0.015933197	0.096025035	0.07712669	0.76751506	0.011209007	0.003537989
a31	0.029038148	0.0036048605	0.023011135	0.1097618	0.07480381	0.7488796	0.008692243	0.0022083658
a26	0.031580593	0.0024328684	0.018287094	0.0965496	0.055882804	0.7925082	0.0025144804	0.00024432907
a31	0.03657496	0.0030109808	0.016449457	0.07189506	0.051016163	0.81329876	0.0060762553	0.0016784152
a8	0.03369398	0.0025898232	0.018755728	0.0938489	0.05561021	0.7927841	0.0024712973	0.0002459621
</S>	0.03545555	0.0023801653	0.012807553	0.053232294	0.04442881	0.8446136	0.005719306	0.0013626778
