 	essendosi	vestito	</S>
a46	0.079289794	0.8816227	0.039087534
a31	0.28916416	0.64444107	0.06639484
a18	0.076604426	0.82618105	0.09721455
a31	0.035282213	0.83405864	0.13065915
a20	0.07221867	0.8538285	0.07395282
a46	0.009512459	0.8537304	0.13675715
a20	0.010431025	0.79886734	0.19070162
a31	0.022340836	0.76968163	0.20797752
a0	0.0051467437	0.9427634	0.052089844
a46	0.0050100344	0.8770428	0.11794722
a35	0.027616857	0.8958394	0.07654373
a46	0.028712021	0.88646346	0.08482455
a24	0.026543634	0.8785896	0.09486677
a46	0.0140644545	0.8571796	0.12875591
a24	0.039361	0.8718503	0.08878873
a31	0.017935889	0.8688483	0.113215804
</S>	0.08680167	0.8567589	0.056439415
