 	che	non	li	aspettiamo	</S>
a20	0.86424845	0.05245557	0.0033081137	0.056515656	0.023472171
a8	0.07924415	0.0024663785	0.0001520974	0.8871781	0.030959252
a7	0.024818955	0.000927184	0.00011141471	0.9324527	0.041689802
a35	0.0057180254	0.0006984603	0.00020793978	0.89193684	0.101438776
a46	0.006736674	0.0013586053	0.00042379517	0.8352702	0.15621069
a31	0.04930958	0.007166233	0.0018137684	0.7679599	0.17375049
a11	0.07600987	0.016365832	0.0031788396	0.6448109	0.25963455
a31	0.023371859	0.005922546	0.0016653484	0.75521934	0.21382086
a0	0.05192982	0.012939666	0.0054404237	0.64874685	0.28094327
a31	0.015106038	0.007315727	0.0034397484	0.77350473	0.20063376
a30	0.10669867	0.038212467	0.027932744	0.49264348	0.3345126
a0	0.013963895	0.010310058	0.0082154125	0.8087616	0.15874904
a31	0.05154626	0.03780009	0.020591298	0.7020826	0.18797977
</S>	0.14970058	0.06282685	0.030949285	0.59367114	0.16285217
