 	forse	stanno	ancora	svegli	</S>
a31	0.26134726	0.32765663	0.14118056	0.26668543	0.0031300953
a10	0.21389852	0.39490083	0.16927053	0.19544236	0.026487807
a20	0.40355426	0.24568969	0.09970723	0.23487446	0.01617435
a31	0.5815792	0.23755091	0.06036237	0.11499937	0.005508161
a18	0.12847117	0.30671456	0.1576657	0.39374816	0.013400319
a31	0.6021144	0.21129078	0.06593923	0.11590656	0.004748992
a35	0.17527121	0.3480712	0.18257333	0.28731993	0.0067643193
a31	0.6216671	0.2732221	0.039398257	0.0635761	0.002136506
a10	0.23644578	0.40398735	0.12714438	0.22825263	0.004169842
a20	0.6833823	0.22976665	0.0271489	0.057168275	0.0025340123
a29	0.78475237	0.114198156	0.023022821	0.07240351	0.0056231907
a20	0.652755	0.1915408	0.035436533	0.11492011	0.005347567
a31	0.37436742	0.15342532	0.08061394	0.36860636	0.022986982
a28	0.60376805	0.24757001	0.025255017	0.12147505	0.0019318466
a8	0.3808529	0.17990912	0.05867645	0.3681151	0.0124465
a21	0.42047486	0.23472834	0.054325733	0.28336954	0.0071014194
</S>	0.2827437	0.21124072	0.07739951	0.41475287	0.013863264
