 	voglio	un	forno	che	vende	rustici	</S>
a31	0.03689989	0.22480696	0.46794137	0.23160955	0.038021293	0.00067502185	4.6019955e-05
a37	0.071500316	0.23013943	0.34132648	0.24046886	0.113390885	0.002609778	0.0005642232
a31	0.17202526	0.26583645	0.33565286	0.19360736	0.031334464	0.0008751678	0.0006683719
a17	0.027448954	0.19233586	0.38770002	0.24044757	0.14938739	0.00233469	0.00034556212
a20	0.0935328	0.23927572	0.38392943	0.21223676	0.0680404	0.0011998354	0.001785012
a31	0.0896569	0.24328113	0.46790674	0.17263296	0.026072567	0.00020495684	0.000244783
a41	0.024260197	0.18873735	0.40806398	0.2294316	0.1469609	0.0022544127	0.00029156162
a24	0.06158805	0.23873198	0.5217022	0.15457015	0.022686347	0.00031197775	0.00040925795
a31	0.0416905	0.21607625	0.5424339	0.1663963	0.032486077	0.0005168428	0.00040008317
a39	0.02176231	0.19365048	0.50668466	0.20375459	0.072180144	0.0016253145	0.00034248244
a31	0.028791841	0.20833899	0.60626054	0.1355916	0.020016707	0.0004736887	0.00052654167
a8	0.016711364	0.17209738	0.55445105	0.19168736	0.0637574	0.0010901912	0.00020522429
a26	0.011279301	0.13294588	0.6768485	0.15164293	0.026790025	0.00030110724	0.0001922818
a23	0.010510892	0.11908216	0.6726923	0.16433941	0.03281045	0.00036174565	0.00020306902
a31	0.014305553	0.12285872	0.6919053	0.14707816	0.023261841	0.00036496556	0.00022541836
a20	0.01222646	0.10946332	0.60417295	0.20053744	0.07317608	0.00038715033	3.662747e-05
a39	0.028322058	0.1327907	0.6488331	0.15756781	0.03095343	0.0008554156	0.0006775599
a11	0.025630752	0.111039765	0.66113925	0.15577419	0.04476509	0.001028359	0.00062264013
a37	0.023551283	0.10391402	0.6256791	0.17016794	0.07259354	0.002573035	0.0015211353
a14	0.01733801	0.08798517	0.57722366	0.18093964	0.13130109	0.003595837	0.0016166066
a24	0.009941081	0.07661847	0.49865755	0.19194391	0.21380171	0.0067799315	0.0022573115
a28	0.011103	0.095094904	0.5660217	0.18656781	0.13411756	0.006079453	0.0010156404
a20	0.0068253	0.0968967	0.4259055	0.2018252	0.24972703	0.016158715	0.0026614943
a8	0.0077530635	0.11117184	0.38683674	0.20719957	0.26728803	0.017959995	0.0017908013
</S>	0.011497823	0.09563892	0.40772614	0.2158238	0.2549637	0.013663413	0.0006862923
