 	ancora	non	mi	sono	vestito	</S>
a8	0.19990832	0.015724422	0.07253209	0.26771513	0.39884418	0.045275882
a31	0.8196102	0.0063050715	0.0017349318	0.010104246	0.13158813	0.030657345
a10	0.18728958	0.002076007	0.0012237396	0.011211528	0.7774239	0.020775227
a31	0.2239341	0.001757748	0.0011977607	0.021877293	0.6914047	0.059828356
a18	0.31571165	0.00462049	0.0039892793	0.013881266	0.6355774	0.026219944
a31	0.12929279	0.0026399305	0.0029216255	0.105808966	0.615629	0.14370766
a20	0.2023026	0.0082591195	0.01222966	0.19736098	0.5121208	0.06772687
a31	0.031164145	0.0020859519	0.0053862603	0.25800323	0.4891268	0.2142336
a13	0.10894446	0.01278421	0.017867656	0.45230272	0.30334532	0.10475561
a35	0.026859164	0.0022862477	0.0033461438	0.28706086	0.5024168	0.17803085
a39	0.065085955	0.0056885686	0.0065731723	0.25592262	0.5203526	0.14637707
a46	0.034867592	0.00555423	0.009460362	0.22252215	0.57898575	0.14860992
a31	0.03739531	0.007892953	0.015785567	0.21450925	0.60819566	0.11622128
a20	0.53523374	0.046086553	0.029350953	0.18266392	0.18157026	0.025094632
a31	0.013567109	0.004474376	0.009773448	0.21773192	0.62757826	0.12687485
a39	0.11359474	0.0478376	0.04359873	0.2768925	0.44715938	0.0709171
a31	0.029852185	0.010843839	0.014353523	0.2534084	0.59844065	0.0931014
</S>	0.07140225	0.03344929	0.030957464	0.25628147	0.5211796	0.08672992
