 	il	abito	della	sposa	corassi	si	chiama	la	sposa	ee	ee	vuole	bianco	</S>
a31	6.685684e-05	0.0203786	0.083616905	0.07283583	0.030063985	0.09839333	0.0020592257	0.055817053	0.09826795	0.16938423	0.17176475	0.13380636	0.06251535	0.0010296272
a23	0.0004014021	0.0897399	0.14673896	0.1054197	0.022313925	0.06202978	0.0065378346	0.07307089	0.08209151	0.148555	0.13482858	0.07409574	0.047664817	0.006511961
a31	0.0003733397	0.115305975	0.19575319	0.15555012	0.03385227	0.06331616	0.006263289	0.039219078	0.040225532	0.16127306	0.13927138	0.02760948	0.017482609	0.004504511
a7	0.0005472619	0.068113476	0.19236672	0.1288443	0.020508014	0.061671194	0.0025957176	0.05328399	0.059619546	0.17617615	0.14843076	0.065104075	0.020643191	0.002095583
a10	4.237611e-05	0.09404964	0.1758257	0.16893381	0.032229643	0.06456513	0.0019805213	0.024975229	0.03294015	0.19549972	0.18105477	0.013337853	0.013422845	0.0011425755
a38	1.2098953e-05	0.040371522	0.13360545	0.16884045	0.034539565	0.09537416	0.0013655641	0.025859233	0.042205002	0.20876649	0.21909672	0.015522711	0.013736984	0.0007039884
a10	2.0893978e-05	0.02983177	0.11153502	0.15510629	0.051596195	0.12278182	0.0024725404	0.029207492	0.05138019	0.1911034	0.20991285	0.025748732	0.018488642	0.00081408693
a11	3.374896e-05	0.026245179	0.09983054	0.13033041	0.061637986	0.14383483	0.0032743334	0.03983718	0.065812394	0.18363276	0.19869755	0.030327288	0.015939394	0.0005664565
a31	5.6948178e-05	0.022746798	0.09168603	0.12595089	0.066976555	0.14883801	0.003637995	0.035605956	0.06209617	0.18251795	0.2015713	0.04094978	0.01680457	0.00056101114
a13	8.446066e-05	0.012697077	0.106186286	0.09933281	0.033921767	0.12584586	0.0019426019	0.05921102	0.09432217	0.18287864	0.18404968	0.076928906	0.021944107	0.0006546004
a31	2.5098072e-05	0.022847883	0.099377386	0.1420708	0.049505834	0.1295767	0.0029427463	0.028814256	0.053752474	0.20159294	0.22576907	0.028369645	0.014765115	0.00059012603
a0	7.729618e-05	0.012287733	0.10312962	0.094054736	0.031258386	0.119486846	0.0018081738	0.060479343	0.09741849	0.18837166	0.18926193	0.07927238	0.022493152	0.00060028315
a31	1.1093078e-05	0.019695673	0.10437076	0.15670073	0.025665706	0.0914237	0.0015399834	0.019649062	0.03918583	0.23215987	0.26528105	0.026602652	0.01679755	0.0009163244
a39	5.8061472e-05	0.0119269015	0.102145724	0.0920226	0.02515729	0.10333549	0.0015581244	0.055905994	0.095519684	0.20727015	0.20835878	0.072856635	0.023344902	0.000539574
a31	4.504587e-06	0.01360171	0.09038426	0.1405337	0.009799028	0.05268843	0.0006733171	0.014182697	0.028455008	0.2844984	0.335013	0.015726648	0.01364733	0.0007919433
