 	perché	aveva	lavorato	tutta	la	settimana	</S>
a31	0.003245912	0.94874203	0.0009710763	0.001147813	0.027915344	0.017398788	0.00057899795
a20	0.074010424	0.7696186	0.0018195314	0.000464853	0.1490231	0.0040996755	0.00096392096
a31	0.09437331	0.3867283	0.0013092452	0.00036783476	0.51401037	0.0014724466	0.0017384773
a18	0.032151096	0.8168499	0.0011706776	0.00048070913	0.14320248	0.0052660834	0.00087907905
a31	0.036608923	0.37996596	0.0016603832	0.00057900307	0.57047415	0.0024865675	0.0082250135
a37	0.010541875	0.9369274	0.0009793818	0.0005677776	0.039239902	0.010456571	0.0012871526
a13	0.006957074	0.34502602	0.0009694091	0.00043933972	0.625115	0.005049129	0.016444093
a31	0.005172063	0.3581206	0.000629706	0.00030577948	0.62221307	0.0042713205	0.0092874775
a20	0.004503888	0.8997873	0.00091408537	0.0005316834	0.07055311	0.02152087	0.002189112
a46	0.0013688899	0.13917376	8.923338e-05	6.289949e-05	0.85538906	0.00196279	0.001953304
a31	0.0017200792	0.14391537	7.0630056e-05	6.175245e-05	0.85175	0.0016696688	0.00081249664
a13	0.0040600654	0.7237453	0.0006688007	0.00037536825	0.26349747	0.0069116848	0.0007413805
a20	0.0018699646	0.052198	5.3580872e-05	4.9824743e-05	0.9442875	0.0010938747	0.00044735783
a31	0.0027447774	0.0711546	0.00011754581	0.00013586694	0.9214011	0.0034139717	0.0010321254
a46	0.01771637	0.38163555	0.0015668477	0.0009750364	0.5940777	0.0037206612	0.00030788366
a39	0.0102010155	0.054449197	0.00040489607	0.00034576	0.9310563	0.002502428	0.001040431
a41	0.013213556	0.09002569	0.001054976	0.0009039838	0.8853988	0.0072369655	0.002166064
a46	0.013567202	0.20109327	0.0022915513	0.0020705778	0.75081605	0.026569422	0.003591935
a39	0.012066823	0.489557	0.0037731198	0.0039211796	0.40734717	0.08020392	0.003130751
a8	0.00743792	0.6283363	0.0041397903	0.004981084	0.2303767	0.121560216	0.0031679966
</S>	0.007114854	0.62853074	0.0051351455	0.0062862956	0.20749705	0.1406152	0.0048206933
