 	mi	si	gonfiò	il	dito	</S>
a31	0.0020816682	0.058075547	0.5549713	0.37628776	0.007919948	0.0006637947
a11	0.09684255	0.089040734	0.4213869	0.38851276	0.0020644346	0.0021527251
a31	0.010124713	0.014286698	0.5291328	0.44129992	0.0014772408	0.0036786583
a15	0.018752653	0.03283709	0.6205354	0.32602856	0.0012461907	0.000600154
a31	0.0024682835	0.008819025	0.54744273	0.42714944	0.003490213	0.010630382
a0	0.0020612117	0.007463816	0.6506733	0.335906	0.0031919011	0.00070368743
a46	0.00080230663	0.0046538534	0.5912881	0.3932887	0.003183232	0.006783785
a31	0.00071818655	0.0033069914	0.68022287	0.3097281	0.0020498885	0.0039739455
a18	0.00060422905	0.001593208	0.7222054	0.27408767	0.001340386	0.00016911619
a31	0.0006183694	0.0017254569	0.73475814	0.25959328	0.001121799	0.0021830485
a24	0.00074718765	0.0013888195	0.7922132	0.20428504	0.0011898064	0.00017587686
a28	0.0012739206	0.003104184	0.74205697	0.24781409	0.0022981844	0.0034526759
a13	0.0022666296	0.0039986284	0.6811679	0.30426252	0.0036998729	0.004604439
a20	0.0038756323	0.007758116	0.6633556	0.3135292	0.0063351793	0.0051462417
a17	0.0055541582	0.023629531	0.6900907	0.267282	0.010089416	0.003354178
a39	0.006719227	0.04542866	0.6589489	0.26064718	0.02104816	0.0072078537
a20	0.0067150947	0.061246745	0.6756416	0.22582898	0.02518993	0.0053776987
a31	0.0044373614	0.048077814	0.70710063	0.21388745	0.02349727	0.002999424
a41	0.014450592	0.027025469	0.6996759	0.24411774	0.010837072	0.0038931652
a8	0.0056410003	0.044372126	0.7072648	0.21713087	0.022598533	0.00299278
a37	0.009077462	0.06321084	0.647852	0.24348855	0.028345438	0.008025767
a8	0.0073711486	0.05546229	0.6886797	0.21748458	0.0267721	0.0042302026
</S>	0.009536453	0.0649864	0.64833283	0.23979487	0.029426128	0.007923289
