 	sono	stato	sempre	poveretti	</S>
a20	0.00057482347	0.36158884	0.35294664	0.25670633	0.028183391
a4	0.0011506537	0.12524909	0.223602	0.62676203	0.02323622
a31	9.261618e-05	0.11430985	0.23274407	0.635798	0.017055457
a38	0.0009352551	0.22053716	0.22741444	0.52565277	0.02546043
a31	3.1672495e-05	0.15570307	0.2545942	0.5608826	0.028788429
a7	0.00017639517	0.28112578	0.28434688	0.42626575	0.008085261
a31	1.8605346e-06	0.05538916	0.14827362	0.78557414	0.010761236
a21	1.8910712e-05	0.12726736	0.252555	0.6117141	0.008444665
a20	1.6589977e-06	0.029498734	0.09364163	0.8662327	0.010625204
a8	1.7248703e-06	0.02602974	0.09874224	0.8710454	0.0041809
a31	9.767537e-05	0.19470593	0.27623564	0.51646656	0.012494223
a33	5.6848927e-05	0.21159108	0.3162943	0.4559662	0.01609159
a20	1.593584e-05	0.05802571	0.16548339	0.765394	0.011080967
a31	2.8851755e-05	0.039312523	0.11381223	0.8394191	0.0074271974
a7	3.0626386e-05	0.08181779	0.22486272	0.6840365	0.009252321
a31	1.24839635e-05	0.014333219	0.061055016	0.9142758	0.010323471
a11	2.548135e-05	0.02810856	0.1366224	0.8303422	0.0049014394
a31	2.4106837e-05	0.011662855	0.06554506	0.9110086	0.011759351
a13	3.2817014e-05	0.017913893	0.103666455	0.87612176	0.0022651074
a18	5.542338e-05	0.012454907	0.07566183	0.9023755	0.009452278
a31	0.00013377905	0.016319193	0.08271501	0.889097	0.011735095
</S>	4.5926092e-05	0.018943338	0.0886046	0.8908663	0.0015399394
